row_label_raw,row_label_full,TÀI SẢN NGÁN HẠN,Mã số,TM,31/12/2018,01/01/2018,numeric__Mã số,numeric__TM,numeric__31/12/2018,numeric__01/01/2018
TÀI SẢN NGÁN HẠN,TÀI SẢN NGÁN HẠN,TÀI SẢN NGÁN HẠN,100,,4.029.945.370.445,3.181.160.957.652,100.0,,4029945370445.0,3181160957652.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5.1,300.087.599.256,91.603.523.920,110.0,51.0,300087599256.0,91603523920.0
Tiền,Tiền,Tiền,111,,50.087.599.256,41.603.523.920,111.0,,50087599256.0,41603523920.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,250.000.000.000,50.000.000.000,112.0,,250000000000.0,50000000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,-,-,120.0,52.0,,
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,3.601.742.566.643,2.997.169.594.629,130.0,,3601742566643.0,2997169594629.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.4,2.401.781.062.858,1.645.417.574.120,131.0,54.0,2401781062858.0,1645417574120.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,2.547.869.820,84.368.938.471,132.0,,2547869820.0,84368938471.0
Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,133,,-,4.885.428.343,133.0,,,4885428343.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,5.3,650.001.015.403,833.805.219.988,135.0,53.0,650001015403.0,833805219988.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.5,547.468.349.562,433.753.763.707,136.0,55.0,547468349562.0,433753763707.0
Dự phòng phải thu ngắn hạn khó đòi (*),Dự phòng phải thu ngắn hạn khó đòi (*),Dự phòng phải thu ngắn hạn khó đòi (*),137,5.6,(55.731.000),(5.061.330.000),137.0,56.0,-55731000.0,-5061330000.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,5.7,74.949.208.031,45.737.674.824,140.0,57.0,74949208031.0,45737674824.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,74.949.208.031,45.737.674.824,141.0,,74949208031.0,45737674824.0
Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),149,,-,-,149.0,,,
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,53.165.996.515,46.650.164.279,150.0,,53165996515.0,46650164279.0
