row_label_raw,row_label_full,col_0,CHỈ TIỀU,Mã số TM,Năm 2018,Năm 2017,numeric__CHỈ TIỀU,numeric__Mã số TM,numeric__Năm 2018,numeric__Năm 2017
LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,,,,
Lợi nhuận trước thuế,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,546.664.674.270,685.712.803.455,1.0,,546664674270.0,685712803455.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,,,
Khấu hao TSCĐ và BĐSĐT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,,1.351.430.218.149,1.389.068.873.090,2.0,,1351430218149.0,1389068873090.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,279.762.107.903,(10.526.259.995),3.0,,279762107903.0,-10526259995.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,190.156.481.939,(18.381.952.836),4.0,,190156481939.0,-18381952836.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,,(25.514.466.112),(31.855.803.544),5.0,,-25514466112.0,-31855803544.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,,357.134.811.466,365.893.027.814,6.0,,357134811466.0,365893027814.0
Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,08,,2.699.633.827.615,2.379.910.687.984,8.0,,2699633827615.0,2379910687984.0
"Tăng, Giảm các khoản phải thu","Điều chỉnh cho các khoản > Tăng, Giảm các khoản phải thu","Tăng, Giảm các khoản phải thu",09,,266.353.419.945,(546.050.914.150),9.0,,266353419945.0,-546050914150.0
"Tăng, Giảm hàng tồn kho","Điều chỉnh cho các khoản > Tăng, Giảm hàng tồn kho","Tăng, Giảm hàng tồn kho",10,,(21.498.622.503),10.259.340.930,10.0,,-21498622503.0,10259340930.0
"Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Điều chỉnh cho các khoản > Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)",11,,(876.199.820.680),82.817.679.790,11.0,,-876199820680.0,82817679790.0
"Tăng, Giảm chi phí trả trước","Điều chỉnh cho các khoản > Tăng, Giảm chi phí trả trước","Tăng, Giảm chi phí trả trước",12,,168.853.722.835,132.740.550.858,12.0,,168853722835.0,132740550858.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(343.155.295.167),(368.320.425.531),14.0,,-343155295167.0,-368320425531.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(5.760.391.668),-,15.0,,-5760391668.0,
