row_label_raw,row_label_full,col_0,31/12/2018(VND) > Giá trị,31/12/2018(VND) > Số có khả năng trả nợ,01/01/2018(VND) > Giá trị,01/01/2018(VND) > Số có khả năng trả nợ,numeric__31/12/2018(VND) > Giá trị,numeric__31/12/2018(VND) > Số có khả năng trả nợ,numeric__01/01/2018(VND) > Giá trị,numeric__01/01/2018(VND) > Số có khả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,884.581.369.352,884.581.369.352,791.703.587.215,791.703.587.215,884581369352.0,884581369352.0,791703587215.0,791703587215.0
Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,35.723.904.867,35.723.904.867,-,-,35723904867.0,35723904867.0,,
Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,100.868.023.672,100.868.023.672,158.292.884.066,158.292.884.066,100868023672.0,100868023672.0,158292884066.0,158292884066.0
Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,51.232.927.877,51.232.927.877,-,-,51232927877.0,51232927877.0,,
Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,451.193.407.652,451.193.407.652,474.029.213.190,474.029.213.190,451193407652.0,451193407652.0,474029213190.0,474029213190.0
LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,-,-,10.301.532.012,10.301.532.012,,,10301532012.0,10301532012.0
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,245.563.105.284,245.563.105.284,149.079.957.947,149.079.957.947,245563105284.0,245563105284.0,149079957947.0,149079957947.0
Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,399.805.189.215,399.805.189.215,625.431.237.752,625.431.237.752,399805189215.0,399805189215.0,625431237752.0,625431237752.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,399.805.189.215,399.805.189.215,391.033.382.523,391.033.382.523,399805189215.0,399805189215.0,391033382523.0,391033382523.0
Công ty TNHH công trình điện Cáp Nhĩ Tân - DA Cao Ngạn,Công ty TNHH công trình điện Cáp Nhĩ Tân - DA Cao Ngạn,Công ty TNHH công trình điện Cáp Nhĩ Tân - DA Cao Ngạn,-,-,234.397.855.229,234.397.855.229,,,234397855229.0,234397855229.0
Cộng,Cộng,Cộng,1.284.386.558.567,1.284.386.558.567,1.417.134.824.967,1.417.134.824.967,1284386558567.0,1284386558567.0,1417134824967.0,1417134824967.0
