row_label_raw,row_label_full,col_0,Doanh thu bán hàng,Doanh thu cung cấp dịch vụ,Tổng cộng,numeric__Doanh thu bán hàng,numeric__Doanh thu cung cấp dịch vụ,numeric__Tổng cộng
,,,VND,VND,VND,,,
Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,,,
Doanh thu,Năm 2017 > Doanh thu,Doanh thu,7.253.223.668.211,16.258.392.207,7.269.482.060.418,7253223668211.0,16258392207.0,7269482060418.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,5.965.270.146.201,13.261.452.219,5.978.531.598.420,5965270146201.0,13261452219.0,5978531598420.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.287.953.522.010,2.996.939.988,1.290.950.461.998,1287953522010.0,2996939988.0,1290950461998.0
Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,,,
Doanh thu,Năm 2018 > Doanh thu,Doanh thu,8.010.030.119.703,18.330.387.124,8.028.360.506.827,8010030119703.0,18330387124.0,8028360506827.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,6.292.368.889.023,16.540.847.632,6.308.909.736.655,6292368889023.0,16540847632.0,6308909736655.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.717.661.230.680,1.789.539.492,1.719.450.770.172,1717661230680.0,1789539492.0,1719450770172.0
