row_label_raw,row_label_full,(i) Phải thu khác,31/12/2018(VND),numeric__31/12/2018(VND)
Phải thu tiền vật tư nhà thầu SFECO,Phải thu tiền vật tư nhà thầu SFECO,Phải thu tiền vật tư nhà thầu SFECO,4.655.338.132,4655338132.0
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,812.299.208,812299208.0
Tạm ứng,Tạm ứng,Tạm ứng,241.293.216,241293216.0
Các khoản khác,Các khoản khác,Các khoản khác,15.341.078.663,15341078663.0
Cộng,Cộng,Cộng,21.050.009.219,21050009219.0
