row_label_raw,row_label_full,col_0,CHỈ TIỀU,Mã số,TM,Năm 2018,Năm 2017,numeric__CHỈ TIỀU,numeric__Mã số,numeric__TM,numeric__Năm 2018,numeric__Năm 2017
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,8.028.360.506.827,7.269.482.060.418,,1.0,61.0,8028360506827.0,7269482060418.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,10,,8.028.360.506.827,7.269.482.060.418,,10.0,,8028360506827.0,7269482060418.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,6.2,6.308.909.736.655,5.978.531.598.420,,11.0,62.0,6308909736655.0,5978531598420.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.719.450.770.172,1.290.950.461.998,,20.0,,1719450770172.0,1290950461998.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,6.3,25.610.145.009,59.193.351.216,,21.0,63.0,25610145009.0,59193351216.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,6.4,1.039.687.148.146,515.161.035.961,,22.0,64.0,1039687148146.0,515161035961.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,357.134.811.466,365.893.027.814,,23.0,,357134811466.0,365893027814.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,6.7,-,-,,25.0,67.0,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,6.7,167.104.286.406,155.582.401.503,,26.0,67.0,167104286406.0,155582401503.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,538.269.480.629,679.400.375.750,,30.0,,538269480629.0,679400375750.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,31,6.5,12.544.757.541,6.338.203.382,,31.0,65.0,12544757541.0,6338203382.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,32,6.6,4.149.563.900,25.775.677,,32.0,66.0,4149563900.0,25775677.0
Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),40,,8.395.193.641,6.312.427.705,,40.0,,8395193641.0,6312427705.0
Tổng lợi nhuận kế toán trước thuế (50=30+40),Tổng lợi nhuận kế toán trước thuế (50=30+40),Tổng lợi nhuận kế toán trước thuế (50=30+40),Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,546.664.674.270,685.712.803.455,,50.0,,546664674270.0,685712803455.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,6.9,45.058.759.743,-,,51.0,69.0,45058759743.0,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,-,-,,52.0,,,
Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),60,,501.605.914.527,685.712.803.455,,60.0,,501605914527.0,685712803455.0
