row_label_raw,row_label_full,col_0,Năm 2018(VND),numeric__Năm 2018(VND)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,546.664.674.270,546664674270.0
"Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:","Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:","Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:",(161.400.043.312),-161400043312.0
- Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng,444.416.971,444416971.0
Chi phí không hợp lệ,Chi phí không hợp lệ,Chi phí không hợp lệ,444.416.971,444416971.0
- Các khoản điều chỉnh giảm,- Các khoản điều chỉnh giảm,- Các khoản điều chỉnh giảm,(161.844.460.283),-161844460283.0
Thu nhập được miễn thuế,Thu nhập được miễn thuế,Thu nhập được miễn thuế,(161.844.460.283),-161844460283.0
Tổng thu nhập chịu thuế,Tổng thu nhập chịu thuế,Tổng thu nhập chịu thuế,385.264.630.958,385264630958.0
Chuyển lỗ năm trước,Chuyển lỗ năm trước,Chuyển lỗ năm trước,(26.650.296.096),-26650296096.0
Thu nhập tính thuế,Thu nhập tính thuế,Thu nhập tính thuế,358.614.334.862,358614334862.0
- Thu nhập được hưởng ưu đãi thuế với thuế suất 10%,- Thu nhập được hưởng ưu đãi thuế với thuế suất 10%,- Thu nhập được hưởng ưu đãi thuế với thuế suất 10%,266.641.072.290,266641072290.0
- Thu nhập chịu thuế suất 20%,- Thu nhập chịu thuế suất 20%,- Thu nhập chịu thuế suất 20%,91.973.262.572,91973262572.0
Thuế suất thuế TNDN được hưởng ưu đãi,Thuế suất thuế TNDN được hưởng ưu đãi,Thuế suất thuế TNDN được hưởng ưu đãi,10%,0.1
Thuế suất thuế TNDN hoạt động không được hưởng ưu đãi,Thuế suất thuế TNDN hoạt động không được hưởng ưu đãi,Thuế suất thuế TNDN hoạt động không được hưởng ưu đãi,20%,0.2
Thuế TNDN phải nộp,Thuế TNDN phải nộp,Thuế TNDN phải nộp,45.058.759.743,45058759743.0
Thuế TNDN được miễn giảm,Thuế TNDN được miễn giảm,Thuế TNDN được miễn giảm,-,
Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước,Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước,Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước,-,
Tổng chi phí thuế TNDN hiện hành,Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước > Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,45.058.759.743,45058759743.0
