row_label_raw,row_label_full,Ho và tên:,Ho và tên:_1,Chức vu:,numeric__Ho và tên:_1,numeric__Chức vu:
-,-,-,Ông Ngô Trí Thịnh,Tổng Giám đốc,,
-,-,-,Ông Nguyễn Văn Hải,Phó Tổng Giám đốc,,
