row_label_raw,row_label_full,col_0,Nguyên tệ,VND,numeric__Nguyên tệ,numeric__VND
Ngoại tệ (USD),Ngoại tệ (USD),Ngoại tệ (USD),"0,04 #",912,,912.0
Đồng Việt Nam,Đồng Việt Nam,Đồng Việt Nam,,49.284.304.893,,49284304893.0
Cộng,Cộng,Cộng,,49.284.305.805,,49284305805.0
