row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,5.361.148.000,703.967.791,139.440.184,6.204.555.975,5361148000.0,703967791.0,139440184.0,6204555975.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,189.000.000,-,189.000.000,,189000000.0,,189000000.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,(35.000.000),-,(35.000.000),,-35000000.0,,-35000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,5.361.148.000,857.967.791,139.440.184,6.358.555.975,5361148000.0,857967791.0,139440184.0,6358555975.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,175.000.000,-,175.000.000,,175000000.0,,175000000.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,101.581.210,326.080.116,70.453.971,498.115.297,101581210.0,326080116.0,70453971.0,498115297.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,86.059.056,127.798.108,17.613.504,231.470.668,86059056.0,127798108.0,17613504.0,231470668.0
Giảm do thanh lý công ty con,Giá trị hao mòn lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,(3.636.109),-,(3.636.109),,-3636109.0,,-3636109.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,187.640.266,450.242.115,88.067.475,725.949.856,187640266.0,450242115.0,88067475.0,725949856.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,5.259.566.790,377.887.675,68.986.213,5.706.440.678,5259566790.0,377887675.0,68986213.0,5706440678.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,5.173.507.734,407.725.676,51.372.709,5.632.606.119,5173507734.0,407725676.0,51372709.0,5632606119.0
