row_label_raw,row_label_full,Bên liên quan > Người mua trả tiền trước ngắn hạn (Thuyết minh số 18),Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Công ty TNHH Một Thành viên Thành Thành Công Gia Lai,Công ty TNHH Một Thành viên Thành Thành Công Gia Lai,Công ty TNHH Một Thành viên Thành Thành Công Gia Lai,Bên liên quan,Cung cấp lắp đặt thiết bị,550.000.000,-,,,550000000.0,
Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),,,,,,,,
Tổng Công ty Điện lực Miền Trung,Phải trả ngắn hạn khác (Thuyết minh số 22) > Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Bên liên quan,Cổ tức phải trả,1.320.000.000,1.650.000.000,,,1320000000.0,1650000000.0
Vay dài hạn (Thuyết minh số 23.4),Vay dài hạn (Thuyết minh số 23.4),Vay dài hạn (Thuyết minh số 23.4),,,,,,,,
Các cổ đông khác,Vay dài hạn (Thuyết minh số 23.4) > Các cổ đông khác,Các cổ đông khác,Cổ đông,Vay,775.785.400,5.608.578.323,,,775785400.0,5608578323.0
