row_label_raw,row_label_full,ty Cổ phần Điện Gia Lai,ty Cổ phần Điện Gia Lai_1,ty Cổ phần Điện Gia Lai_2,ty Cổ phần Điện Gia Lai_3,ty Cổ phần Điện Gia Lai_4,ty Cổ phần Điện Gia Lai_5,numeric__ty Cổ phần Điện Gia Lai_1,numeric__ty Cổ phần Điện Gia Lai_2,numeric__ty Cổ phần Điện Gia Lai_3,numeric__ty Cổ phần Điện Gia Lai_4,numeric__ty Cổ phần Điện Gia Lai_5
,,,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,,,,,
T MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)ay và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,T MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)ay và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,T MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)ay và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,T MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)ay và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,T MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)ay và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,T MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)ay và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,T MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)ay và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,T MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)ay và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,,,,,
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,,,
Tình hình tăng giảm nguồn vốn chủ sở hữu,Tình hình tăng giảm nguồn vốn chủ sở hữu,Tình hình tăng giảm nguồn vốn chủ sở hữu,Tình hình tăng giảm nguồn vốn chủ sở hữu,Tình hình tăng giảm nguồn vốn chủ sở hữu,Tình hình tăng giảm nguồn vốn chủ sở hữu,Tình hình tăng giảm nguồn vốn chủ sở hữu,Tình hình tăng giảm nguồn vốn chủ sở hữu,,,,,
,,,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,601.302.280.000,56.096.658.653,37.654.564.728,70.360.834.760,765.414.338.141,601302280000.0,56096658653.0,37654564728.0,70360834760.0,765414338141.0
Phát hành cổ phiếu mới,Năm trước > Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,23.342.420.000,-,-,-,23.342.420.000,23342420000.0,,,,23342420000.0
Cổ phiếu thưởng,Năm trước > Cổ phiếu thưởng,Cổ phiếu thưởng,54.116.300.000,(54.116.300.000),-,-,-,54116300000.0,-54116300000.0,,,
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,66.142.390.000,-,-,(66.142.390.000),-,66142390000.0,,,-66142390000.0,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,92.672.307.238,92.672.307.238,,,,92672307238.0,92672307238.0
Tăng do thay đổi tỷ lệ sở hữu trongcác công ty con,Năm trước > Tăng do thay đổi tỷ lệ sở hữu trongcác công ty con,Tăng do thay đổi tỷ lệ sở hữu trongcác công ty con,-,-,-,10.011.551.439,10.011.551.439,,,,10011551439.0,10011551439.0
Trích lập các quỹ,Năm trước > Trích lập các quỹ,Trích lập các quỹ,-,-,8.441.027.494,(8.441.027.494),-,,,8441027494.0,-8441027494.0,
Sử dụng quỹ,Năm trước > Sử dụng quỹ,Sử dụng quỹ,-,-,(330.330.172),-,(330.330.172),,,-330330172.0,,-330330172.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(4.617.908.211),(4.617.908.211),,,,-4617908211.0,-4617908211.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,744.903.390.000,1.980.358.653,45.765.262.050,93.843.367.732,886.492.378.435,744903390000.0,1980358653.0,45765262050.0,93843367732.0,886492378435.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,744.903.390.000,1.980.358.653,45.765.262.050,93.843.367.732,886.492.378.435,744903390000.0,1980358653.0,45765262050.0,93843367732.0,886492378435.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,95.068.725.578,95.068.725.578,,,,95068725578.0,95068725578.0
Giảm do thay đổi tỷ lệ sở hữu trongcông ty con (Thuyết minh số 4),Năm nay > Giảm do thay đổi tỷ lệ sở hữu trongcông ty con (Thuyết minh số 4),Giảm do thay đổi tỷ lệ sở hữu trongcông ty con (Thuyết minh số 4),-,-,-,(6.985.070.086),(6.985.070.086),,,,-6985070086.0,-6985070086.0
Hoàn nhập quỹ,Năm nay > Hoàn nhập quỹ,Hoàn nhập quỹ,-,-,(2.410.627.497),2.410.627.497,-,,,-2410627497.0,2410627497.0,
Trích lập các quỹ,Năm nay > Trích lập các quỹ,Trích lập các quỹ,-,-,5.697.709.170,(5.697.709.170),-,,,5697709170.0,-5697709170.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(10.254.203.067),(10.254.203.067),,,,-10254203067.0,-10254203067.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,744.903.390.000,1.980.358.653,49.052.343.723,168.385.738.484,964.321.830.860,744903390000.0,1980358653.0,49052343723.0,168385738484.0,964321830860.0
