row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,Số lượng cổ phiếu(Cổ phiếu),Vốn cổ phần đã góp(VND),Tỷ lệ sở hữu(%),Số lượng cổ phiếu(Cổ phiếu),Vốn cổ phần đã góp(VND),Tỷ lệ sở hữu(%),,,,,,
Công ty TNHH Thương mại Đầu tư Thuận Thiên,Công ty TNHH Thương mại Đầu tư Thuận Thiên,Công ty TNHH Thương mại Đầu tư Thuận Thiên,18.500.242,185.002.420.000,"24,84",3.009.582,30.095.820.000,"4,04",18500242.0,185002420000.0,24.84,3009582.0,30095820000.0,4.04
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,18.500.000,185.000.000.000,"24,84",14.739.764,147.397.640.000,"19,79",18500000.0,185000000000.0,24.84,14739764.0,147397640000.0,19.79
AVH Pte. Ltd.,AVH Pte. Ltd.,AVH Pte. Ltd.,14.935.446,149.354.460.000,"20,05",-,-,-,14935446.0,149354460000.0,20.05,,,
International Finance Corporation,International Finance Corporation,International Finance Corporation,11.881.076,118.810.760.000,"15,95",-,-,-,11881076.0,118810760000.0,15.95,,,
Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,3.967.499,39.674.990.000,"5,33",3.967.499,39.674.990.000,"5,33",3967499.0,39674990000.0,5.33,3967499.0,39674990000.0,5.33
Bà Tạ Thị Ngoan,Bà Tạ Thị Ngoan,Bà Tạ Thị Ngoan,-,-,-,17.436.000,174.360.000.000,"23,41",,,,17436000.0,174360000000.0,23.41
Công ty Cổ phần Đường Ninh Hòa,Công ty Cổ phần Đường Ninh Hòa,Công ty Cổ phần Đường Ninh Hòa,-,-,-,9.660.000,96.600.000.000,"12,97",,,,9660000.0,96600000000.0,12.97
Công ty Cổ phần Khai thác và Quản lý,Công ty Cổ phần Khai thác và Quản lý,Công ty Cổ phần Khai thác và Quản lý,,,,,,,,,,,,
Khu Công Nghiệp Đăng Huỳnh,Công ty Cổ phần Khai thác và Quản lý > Khu Công Nghiệp Đăng Huỳnh,Khu Công Nghiệp Đăng Huỳnh,-,-,-,7.098.156,70.981.560.000,"9,53",,,,7098156.0,70981560000.0,9.53
Các cổ đông khác,Công ty Cổ phần Khai thác và Quản lý > Các cổ đông khác,Các cổ đông khác,6.706.076,67.060.760.000,"9,00",18.579.338,185.793.380.000,"24,94",6706076.0,67060760000.0,9.0,18579338.0,185793380000.0,24.94
TỔNG CỘNG,Công ty Cổ phần Khai thác và Quản lý > TỔNG CỘNG,TỔNG CỘNG,74.490.339,744.903.390.000,100,74.490.339,744.903.390.000,100,74490339.0,744903390000.0,100.0,74490339.0,744903390000.0,100.0
