row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6)
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Bên liên quan,Bán điện,99.590.499.740,95.521.103.766,,,99590499740.0,95521103766.0
Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Bên liên quan,Cung cấp dịch vụ,6.877.239.927,1.650.000.000,,,6877239927.0,1650000000.0
Công ty Cổ phần Đường Biên Hòa,Công ty Cổ phần Đường Biên Hòa,Công ty Cổ phần Đường Biên Hòa,Bên liên quan,Cung cấp lắp đặt thiết bị,1.742.835.557,-,,,1742835557.0,
,,,,,108.210.575.224,97.171.103.766,,,108210575224.0,97171103766.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên liên quan,Cho vay,74.000.000.000,7.000.000.000,,,74000000000.0,7000000000.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Cho vay,-,110.000.000.000,,,,110000000000.0
Bà Đặng Nhân Dung,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Bà Đặng Nhân Dung,Bà Đặng Nhân Dung,Bên liên quan,Cho vay,-,54.000.000.000,,,,54000000000.0
,,,,,74.000.000.000,171.000.000.000,,,74000000000.0,171000000000.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Chuyển nhượng khoản đầu tư,54.183.562.000,-,,,54183562000.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Lãi cho vay,279.123.669,-,,,279123669.0,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên liên quan,Lãi cho vay,573.500.000,-,,,573500000.0,
Công ty Cổ phần Thủy Điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Bên liên quan,Thuê văn phòng,316.119.209,-,,,316119209.0,
,,,,,55.352.304.878,-,,,55352304878.0,
Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Dịch vụ tư vấn,1.195.838.530,-,,,1195838530.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Mua vật tư,-,1.141.411.373,,,,1141411373.0
Tổng Công ty Điện lực Miền Trung,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Bên liên quan,Mua điện,-,24.979.802,,,,24979802.0
,,,,,1.195.838.530,1.166.391.175,,,1195838530.0,1166391175.0
