row_label_raw,row_label_full,"Ngân hàng > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > Hợp đồng vay số 19/HĐTD, ngày 27 tháng 12 năm 2016 > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > Hợp đồng vay số 399/16/VCB, ngày 30 tháng 12 năm 2016",Số cuối nămVND > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > 13.500.000.000 > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > 1.800.000.000,Kỳ hạn trả gốc > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > Ngày 27 tháng 6 năm 2017 > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > Ngày 27 tháng 2 năm 2017,Mục đích vay > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > Bổ sungvốn lưu động > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > Bổ sungvốn lưu động,"Lãi suất%/năm > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > 5 > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > 6,3",Hình thức đảm bảo > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > Tín chấp > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > Cổ phiếu của Công ty Cổ phần Đầu tư Điện Tây Nguyên thuộc sở hữu của Công ty,numeric__Số cuối nămVND > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > 13.500.000.000 > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > 1.800.000.000,numeric__Kỳ hạn trả gốc > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > Ngày 27 tháng 6 năm 2017 > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > Ngày 27 tháng 2 năm 2017,numeric__Mục đích vay > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > Bổ sungvốn lưu động > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > Bổ sungvốn lưu động,"numeric__Lãi suất%/năm > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > 5 > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > 6,3",numeric__Hình thức đảm bảo > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > Tín chấp > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > Cổ phiếu của Công ty Cổ phần Đầu tư Điện Tây Nguyên thuộc sở hữu của Công ty
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,15.300.000.000,,,,,15300000000.0,,,,
Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,,,,,
Chi tiết khoản vay ngắn hạn bên liên quan như sau:,Chi tiết khoản vay ngắn hạn bên liên quan như sau:,Chi tiết khoản vay ngắn hạn bên liên quan như sau:,Chi tiết khoản vay ngắn hạn bên liên quan như sau:,Chi tiết khoản vay ngắn hạn bên liên quan như sau:,Chi tiết khoản vay ngắn hạn bên liên quan như sau:,Chi tiết khoản vay ngắn hạn bên liên quan như sau:,Chi tiết khoản vay ngắn hạn bên liên quan như sau:,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối nămVND,Ngày đáo hạn,Mục đích vay,Lãi suất%/năm,Hình thức đảm bảo,,,,,
Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,,,,,
Hợp đồng số 01HDDV-GTLC/2016 ngày 26 tháng 8 năm 2016,Công ty Cổ phần Thủy Điện Trường Phú > Hợp đồng số 01HDDV-GTLC/2016 ngày 26 tháng 8 năm 2016,Hợp đồng số 01HDDV-GTLC/2016 ngày 26 tháng 8 năm 2016,500.000.000,Ngày 1 tháng 2 năm 2017,Bổ sungvốn lưu động,7,Tín chấp,500000000.0,,,7.0,
