row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm hợp nhất kinh doanh VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm hợp nhất kinh doanh VND,numeric__Giá trị ghi sổ trước thời điểm hợp nhất kinh doanh VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm hợp nhất kinh doanh VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,53.493.753.066,-,53.493.753.066,53493753066.0,,53493753066.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,63.500.000.000,-,63.500.000.000,63500000000.0,,63500000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,48.238.103.297,-,48.238.103.297,48238103297.0,,48238103297.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,126.318.193.503,-,126.318.193.503,126318193503.0,,126318193503.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,2.928.354.540,-,2.928.354.540,2928354540.0,,2928354540.0
"Tài sản cố định hữu hình, thuần","Tài sản cố định hữu hình, thuần","Tài sản cố định hữu hình, thuần",259.269.536.771,39.554.375.568,298.823.912.339,259269536771.0,39554375568.0,298823912339.0
"Tài sản cố định vô hình, thuần","Tài sản cố định vô hình, thuần","Tài sản cố định vô hình, thuần",182.791.671,360.954.434.193,361.137.225.864,182791671.0,360954434193.0,361137225864.0
"Bất động sản đầu tư, thuần","Bất động sản đầu tư, thuần","Bất động sản đầu tư, thuần",11.774.005.829,6.853.968.089,18.627.973.918,11774005829.0,6853968089.0,18627973918.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,157.600.000,-,157.600.000,157600000.0,,157600000.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,46.808.941.258,78.494.631.880,125.303.573.138,46808941258.0,78494631880.0,125303573138.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(195.753.332.340),-,(195.753.332.340),-195753332340.0,,-195753332340.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(23.649.116.960),-,(23.649.116.960),-23649116960.0,,-23649116960.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(61.108.357.044),-,(61.108.357.044),-61108357044.0,,-61108357044.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,(100.000.000),-,(100.000.000),-100000000.0,,-100000000.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(97.171.481.946),(97.171.481.946),,-97171481946.0,-97171481946.0
Tổng tài sản thuần có thể xác định được từ hợp nhất kinh doanh,Tổng tài sản thuần có thể xác định được từ hợp nhất kinh doanh,Tổng tài sản thuần có thể xác định được từ hợp nhất kinh doanh,332.060.473.591,388.685.927.784,720.746.401.375,332060473591.0,388685927784.0,720746401375.0
Phần tài sản thuần từ hợp nhất kinh doanh,Phần tài sản thuần từ hợp nhất kinh doanh,Phần tài sản thuần từ hợp nhất kinh doanh,,,376.605.427.051,,,376605427051.0
Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 19),Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 19),Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 19),,,188.471.345.221,,,188471345221.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,565.076.772.272,,,565076772272.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,53.493.753.066,,,53493753066.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,511.583.019.206,,,511583019206.0
