row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát (“NCI”) VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát (“NCI”) VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,7.229.246.040.000,3.555.999.144.992,(265.775.657.006),(1.640.252.631.255),13.597.433.276,22.731.972.844,3.244.394.137.086,247.026.608.088,12.406.967.048.025,7229246040000.0,3555999144992.0,-265775657006.0,-1640252631255.0,13597433276.0,22731972844.0,3244394137086.0,247026608088.0,12406967048025.0
Vốn cổ phần đã phát hành (Thuyết minh 26),Vốn cổ phần đã phát hành (Thuyết minh 26),Vốn cổ phần đã phát hành (Thuyết minh 26),38.692.140.000,154.768.560.000,-,-,-,-,-,-,193.460.700.000,38692140000.0,154768560000.0,,,,,,,193460700000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,4.520.298.845.178,77.272.410.164,4.597.571.255.342,,,,,,,4520298845178.0,77272410164.0,4597571255342.0
Hợp nhất kinh doanh (Thuyết minh 5),Hợp nhất kinh doanh (Thuyết minh 5),Hợp nhất kinh doanh (Thuyết minh 5),-,-,-,-,-,-,-,344.140.974.324,344.140.974.324,,,,,,,,344140974324.0,344140974324.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,-,-,-,-,(3.172.160.718.000),-,(3.172.160.718.000),,,,,,,-3172160718000.0,,-3172160718000.0
Cổ tức công bố bởi các công ty con,Cổ tức công bố bởi các công ty con,Cổ tức công bố bởi các công ty con,-,-,-,-,-,-,-,(56.255.650.600),(56.255.650.600),,,,,,,,-56255650600.0,-56255650600.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(952.034.012),(869.965.988),(1.822.000.000),,,,,,,-952034012.0,-869965988.0,-1822000000.0
Giao dịch với NCI (Thuyết minh 6(a)),Giao dịch với NCI (Thuyết minh 6(a)),Giao dịch với NCI (Thuyết minh 6(a)),-,-,-,-,-,-,(11.716.130.133),(5.367.157.242),(17.083.287.375),,,,,,,-11716130133.0,-5367157242.0,-17083287375.0
Giao dịch với NCI (Thuyết minh 6(b)),Giao dịch với NCI (Thuyết minh 6(b)),Giao dịch với NCI (Thuyết minh 6(b)),-,-,-,-,-,-,3.993.761.476,(15.725.646.476),(11.731.885.000),,,,,,,3993761476.0,-15725646476.0,-11731885000.0
Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,-,-,-,-,(101.678.344),-,-,1.240,(101.677.104),,,,,-101678344.0,,,1240.0,-101677104.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,7.267.938.180.000,3.710.767.704.992,(265.775.657.006),(1.640.252.631.255),13.495.754.932,22.731.972.844,4.583.857.861.595,590.221.573.510,14.282.984.759.612,7267938180000.0,3710767704992.0,-265775657006.0,-1640252631255.0,13495754932.0,22731972844.0,4583857861595.0,590221573510.0,14282984759612.0
