row_label_raw,row_label_full,STT > 15 > 16 > 17,Tên công ty > Công ty Cổ phần Café De Nam > Công ty Cổ phần Bột giặt Net > Công ty TNHH Hi-Fresh,Hoạt động chính > (iv) Sản xuất và kinh doanh đồ uống > (v) Sản xuất và kinh doanh sản phẩm chăm sóc gia đình > (viii) Kinh doanh và phân phối,"Trụ sở > Lô C I.III-3+5+7, Khu Công nghiệp Long Thành, Xã Tâm An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam. > Đường D4, Khu Công nghiệp Lộc An – Bình Sơn, Xã Bình Sơn, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam. > Tầng 8, MPLaza Saigon, 39 Lê Duẩn. Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam.","Phần trăm lợi ích kinh tế tại ngày > 31/12/2020 > 83,97% > 52,25% > 100%","Phần trăm lợi ích kinh tế tại ngày > 1/1/2020 > 83,72% > -","Phần trăm quyền biểu quyết tại ngày > 31/12/2020 > 85% > 52,25% > 100%",Phần trăm quyền biểu quyết tại ngày > 1/1/2020 > 85% > -,numeric__Tên công ty > Công ty Cổ phần Café De Nam > Công ty Cổ phần Bột giặt Net > Công ty TNHH Hi-Fresh,numeric__Hoạt động chính > (iv) Sản xuất và kinh doanh đồ uống > (v) Sản xuất và kinh doanh sản phẩm chăm sóc gia đình > (viii) Kinh doanh và phân phối,"numeric__Trụ sở > Lô C I.III-3+5+7, Khu Công nghiệp Long Thành, Xã Tâm An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam. > Đường D4, Khu Công nghiệp Lộc An – Bình Sơn, Xã Bình Sơn, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam. > Tầng 8, MPLaza Saigon, 39 Lê Duẩn. Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam.","numeric__Phần trăm lợi ích kinh tế tại ngày > 31/12/2020 > 83,97% > 52,25% > 100%","numeric__Phần trăm lợi ích kinh tế tại ngày > 1/1/2020 > 83,72% > -","numeric__Phần trăm quyền biểu quyết tại ngày > 31/12/2020 > 85% > 52,25% > 100%",numeric__Phần trăm quyền biểu quyết tại ngày > 1/1/2020 > 85% > -
,,,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,,,,,,,
1,1,1,Công ty Cổ phần Thực phẩm Cholímex,(i) Sản xuất và kinh doanh gia vị,"Lô C40 – 43/I, Đường số 7, Khu Công nghiệp Vĩnh Lộc, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam.","32,83%","32,83%","32,83%","32,83%",,,,0.3283,0.3283,0.3283,0.3283
