row_label_raw,row_label_full,col_0,1/1/2020Giá trị ghi sổ/Số có khả năngtrả nợVND,Biến động trong năm > Tăng từhợp nhất kinhdoanhVND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,Biến động trong năm > Đánh giá lạiVND,31/12/2020Giá trị ghi sổ/Số có khả năngtrả nợVND,numeric__1/1/2020Giá trị ghi sổ/Số có khả năngtrả nợVND,numeric__Biến động trong năm > Tăng từhợp nhất kinhdoanhVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__Biến động trong năm > Đánh giá lạiVND,numeric__31/12/2020Giá trị ghi sổ/Số có khả năngtrả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,5.109.181.099.998,23.649.116.960,21.762.970.757.988,(20.355.931.689.050),264.591.435,6.540.133.877.331,5109181099998.0,23649116960.0,21762970757988.0,-20355931689050.0,264591435.0,6540133877331.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,3.956.041.498,-,120.314.777.578,(3.956.041.498),-,120.314.777.578,3956041498.0,,120314777578.0,-3956041498.0,,120314777578.0
,,,5.113.137.141.496,23.649.116.960,21.883.285.535.566,(20.359.887.730.548),264.591.435,6.660.448.654.909,5113137141496.0,23649116960.0,21883285535566.0,-20359887730548.0,264591435.0,6660448654909.0
