row_label_raw,row_label_full,col_0,Nhà cửa VND,Cơ sở hạ tầng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Cơ sở hạ tầng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Số dư đầu năm > Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Tăng từ hợp nhất kinh doanh (Thuyết minh 5),18.016.283.093,611.690.825,18.627.973.918,18016283093.0,611690825.0,18627973918.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,18.016.283.093,611.690.825,18.627.973.918,18016283093.0,611690825.0,18627973918.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Khấu hao trong năm,Số dư đầu năm > Khấu hao trong năm,Khấu hao trong năm,4.049.295.700,60.877.658,4.110.173.358,4049295700.0,60877658.0,4110173358.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,4.049.295.700,60.877.658,4.110.173.358,4049295700.0,60877658.0,4110173358.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,13.966.987.393,550.813.167,14.517.800.560,13966987393.0,550813167.0,14517800560.0
