row_label_raw,row_label_full,col_0,Thực phẩm VND,Đồ uống VND,chăm sóc gia đình VND,Hợp nhất VND,numeric__Thực phẩm VND,numeric__Đồ uống VND,numeric__chăm sóc gia đình VND,numeric__Hợp nhất VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,5.508.223.504.330,2.657.566.827.661,1.168.098.039.093,9.333.888.371.084,5508223504330.0,2657566827661.0,1168098039093.0,9333888371084.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,16.199.518.181.941,,,,16199518181941.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,25.533.406.553.025,,,,25533406553025.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.245.516.882.503,509.129.738.294,342.197.039.797,2.096.843.660.594,1245516882503.0,509129738294.0,342197039797.0,2096843660594.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,9.153.578.132.819,,,,9153578132819.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,11.250.421.793.413,,,,11250421793413.0
Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi tiêu vốn,Chi tiêu vốn,1.046.021.150.505,418.284.145.218,10.845.452.246,1.475.150.747.969,1046021150505.0,418284145218.0,10845452246.0,1475150747969.0
Chi tiêu vốn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,19.204.890.324,,,,19204890324.0
Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư,Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư,377.306.766.937,137.909.650.317,21.903.196.876,537.119.614.130,377306766937.0,137909650317.0,21903196876.0,537119614130.0
Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư không phân bổ,Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư không phân bổ,,,,13.173.181.352,,,,13173181352.0
"Khấu hao tài sản cố định vô hình, lợi thế thương mại và chi phí trả trước dài hạn","Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Khấu hao tài sản cố định vô hình, lợi thế thương mại và chi phí trả trước dài hạn","Khấu hao tài sản cố định vô hình, lợi thế thương mại và chi phí trả trước dài hạn",47.645.508.530,172.338.223.663,30.066.166.192,250.049.898.385,47645508530.0,172338223663.0,30066166192.0,250049898385.0
Khấu hao tài sản cố định vô hình và chi phí trả trước dài hạn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Khấu hao tài sản cố định vô hình và chi phí trả trước dài hạn không phân bổ,Khấu hao tài sản cố định vô hình và chi phí trả trước dài hạn không phân bổ,,,,36.371.516.398,,,,36371516398.0
