row_label_raw,row_label_full,col_0,Mãsố,2020VND,2019VND,numeric__Mãsố,numeric__2020VND,numeric__2019VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,01,5.391.027.786.095,4.491.779.313.082,1.0,5391027786095.0,4491779313082.0
Khấu hao,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao,Khấu hao,02,784.557.565.693,683.647.896.253,2.0,784557565693.0,683647896253.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,53.082.363.339,42.936.679.383,3.0,53082363339.0,42936679383.0
Lãi chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,04,(201.663.077),(390.948.962),4.0,-201663077.0,-390948962.0
Lỗ từ thanh lý và xóa số tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ từ thanh lý và xóa số tài sản cố định,Lỗ từ thanh lý và xóa số tài sản cố định,05,13.587.327.990,12.235.608.058,5.0,13587327990.0,12235608058.0
Thu nhập lãi từ các hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thu nhập lãi từ các hoạt động đầu tư,Thu nhập lãi từ các hoạt động đầu tư,05,(738.150.351.781),(612.432.646.819),5.0,-738150351781.0,-612432646819.0
Lợi nhuận được chia từ một công ty liên kết,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận được chia từ một công ty liên kết,Lợi nhuận được chia từ một công ty liên kết,05,(13.296.085.000),(7.977.651.000),5.0,-13296085000.0,-7977651000.0
Chi phí lãi vay và chi phí tài chính khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí tài chính khác,Chi phí lãi vay và chi phí tài chính khác,06,286.953.132.557,235.821.679.467,6.0,286953132557.0,235821679467.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,5.777.560.075.816,4.845.619.929.462,8.0,5777560075816.0,4845619929462.0
Biến động các khoản phải thu và tài sản khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,(75.081.420.768),(106.580.652.628),9.0,-75081420768.0,-106580652628.0
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(600.009.848.785),3.309.468.770,10.0,-600009848785.0,3309468770.0
Biến động các khoản phải trả và nợ phảitrã khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phảitrã khác,Biến động các khoản phải trả và nợ phảitrã khác,11,379.878.201.175,(89.570.589.604),11.0,379878201175.0,-89570589604.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,36.760.539.972,29.075.228.514,12.0,36760539972.0,29075228514.0
Biến động chứng khoán kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,150.604.109.559,(150.604.109.559),13.0,150604109559.0,-150604109559.0
,,,,5.669.711.656.969,4.531.249.274.955,,5669711656969.0,4531249274955.0
Tiền lãi vay và các chi phí tài chính khác đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay và các chi phí tài chính khác đã trả,Tiền lãi vay và các chi phí tài chính khác đã trả,14,(306.744.653.150),(226.368.531.574),14.0,-306744653150.0,-226368531574.0
