row_label_raw,row_label_full,STT,Tên công ty,Tên công ty_1,Hoạt động chính,Trụ sở,Phần trăm lợi ích kinh tế tại ngày 31/12/2020,1/1/2020,Phần trăm quyền biểu quyết tại ngày 31/12/2020,1/1/2020_1,numeric__Tên công ty,numeric__Tên công ty_1,numeric__Hoạt động chính,numeric__Trụ sở,numeric__Phần trăm lợi ích kinh tế tại ngày 31/12/2020,numeric__1/1/2020,numeric__Phần trăm quyền biểu quyết tại ngày 31/12/2020,numeric__1/1/2020_1
STT,STT,STT,Các công ty con sở hữu gián tiếp,Các công ty con sở hữu gián tiếp,,,,,,,,,,,,,,
1,STT > 1,1,Công ty TNHH Một Thành viên Công nghiệp Masan,(i),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","Lô 6, Khu Công nghiệp Tân Đông Hiệp A, Phường Tân Đông Hiệp, Thành phố Dĩ An, Tinh Bình Dương, Việt Nam.",100%,100%,100%,100%,,,,,1.0,1.0,1.0,1.0
2,STT > 2,2,Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,(i),Sản xuất gia vị,"Lô III-10, Đường số 1, Nhóm Công nghiệp III, Khu Công nghiệp Tân Bình, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam.",100%,100%,100%,100%,,,,,1.0,1.0,1.0,1.0
3,STT > 3,3,Công ty Cổ phần Masan PQ,(i),Sản xuất gia vị,"Tổ 1, Áp Suối Đá, Xã Dương Tơ, Thành phố Phú Quốc, Tinh Kiên Giang, Việt Nam.","99,99%","99,99%","99,99%","99,99%",,,,,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999
4,STT > 4,4,Công ty TNHH Masan Long An,(i),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","Áp 2, Xã Thạnh Hòa, Huyện Bến Lức, Tinh Long An, Việt Nam.",100%,100%,100%,100%,,,,,1.0,1.0,1.0,1.0
5,STT > 5,5,Công ty TNHH Một Thành viên Masan HD,(i),Sản xuất thực phẩm tiện lợi,"Lô 22, Khu Công nghiệp Đại An, Phường Tử Minh, Thành phố Hải Dương, Tinh Hải Dương, Việt Nam.",100%,100%,100%,100%,,,,,1.0,1.0,1.0,1.0
6,STT > 6,6,Công ty TNHH Một Thành viên Masan MB,(i),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","Khu B, Khu Công nghiệp Nam Cẩm, Khu Kinh tế Đông Nam Nghệ An, Huyện Nghi Lộc, Tinh Nghệ An, Việt Nam.",100%,100%,100%,100%,,,,,1.0,1.0,1.0,1.0
7,STT > 7,7,Công ty TNHH Một Thành viên Masan HG,(i),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","Khu Công nghiệp Sông Hậu, Xã Đông Phú, Huyện Châu Thành, Tinh Hậu Giang, Việt Nam.",100%,100%,100%,100%,,,,,1.0,1.0,1.0,1.0
