row_label_raw,row_label_full,col_0,Thực phẩm VND,Đồ uống VND,chăm sóc gia đình VND,Hợp nhất VND,numeric__Thực phẩm VND,numeric__Đồ uống VND,numeric__chăm sóc gia đình VND,numeric__Hợp nhất VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,4.083.749.822.511,2.296.906.092.277,-,6.380.655.914.788,4083749822511.0,2296906092277.0,,6380655914788.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,14.088.951.397.110,,,,14088951397110.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,20.469.607.311.898,,,,20469607311898.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.251.917.157.075,578.553.540.514,-,1.830.470.697.589,1251917157075.0,578553540514.0,,1830470697589.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,6.232.169.566.284,,,,6232169566284.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,8.062.640.263.873,,,,8062640263873.0
Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Chi tiêu vốn,Chi tiêu vốn,927.074.405.715,217.885.157.004,-,1.144.959.562.719,927074405715.0,217885157004.0,,1144959562719.0
Chi tiêu vốn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,6.925.301.473,,,,6925301473.0
Khấu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,325.196.656.875,136.964.228.518,-,462.160.885.393,325196656875.0,136964228518.0,,462160885393.0
Khấu hao tài sản cố định hữu hình không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,,,,13.251.206.371,,,,13251206371.0
"Khấu hao tài sản cố định vô hình, lợi thể thương mại và chi phí trả trước dài hạn","Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Khấu hao tài sản cố định vô hình, lợi thể thương mại và chi phí trả trước dài hạn","Khấu hao tài sản cố định vô hình, lợi thể thương mại và chi phí trả trước dài hạn",40.732.287.383,171.873.955.214,-,212.606.242.597,40732287383.0,171873955214.0,,212606242597.0
Khấu hao tài sản cố định vô hình và chi phí trả trước dài hạn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Khấu hao tài sản cố định vô hình và chi phí trả trước dài hạn không phân bổ,Khấu hao tài sản cố định vô hình và chi phí trả trước dài hạn không phân bổ,,,,38.637.098.477,,,,38637098477.0
