row_label_raw,row_label_full,col_0,Nhà cửa VND,Nâng cấp tài sản thuê VND,Dụng cụ văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa VND,numeric__Nâng cấp tài sản thuê VND,numeric__Dụng cụ văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.622.742.662.400,59.609.724.541,82.304.143.029,4.373.999.079.308,16.475.523.888,6.155.131.133.166,1622742662400.0,59609724541.0,82304143029.0,4373999079308.0,16475523888.0,6155131133166.0
Tăng từ hợp nhất kinh doanh(Thuyết minh 5),Nguyên giá > Tăng từ hợp nhất kinh doanh(Thuyết minh 5),Tăng từ hợp nhất kinh doanh(Thuyết minh 5),218.191.553.855,-,887.959.633,75.487.907.649,4.256.491.202,298.823.912.339,218191553855.0,,887959633.0,75487907649.0,4256491202.0,298823912339.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,398.318.182,-,652.203.183,5.720.986.356,789.054.364,7.560.562.085,398318182.0,,652203183.0,5720986356.0,789054364.0,7560562085.0
Chuyển từ chi phí xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang,Chuyển từ chi phí xây dựng cơ bảnđở dang,368.548.686.265,-,9.397.839.052,782.123.096.013,583.238.049,1.160.652.859.379,368548686265.0,,9397839052.0,782123096013.0,583238049.0,1160652859379.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,-,(30.000.000),-,(30.000.000),,,,-30000000.0,,-30000000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(21.308.190.981),-,(3.835.556.049),(50.674.120.956),(1.557.284.000),(77.375.151.986),-21308190981.0,,-3835556049.0,-50674120956.0,-1557284000.0,-77375151986.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(1.670.815.657),-,(40.000.000),(269.835.552),-,(1.980.651.209),-1670815657.0,,-40000000.0,-269835552.0,,-1980651209.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.186.902.214.064,59.609.724.541,89.366.588.848,5.186.357.112.818,20.547.023.503,7.542.782.663.774,2186902214064.0,59609724541.0,89366588848.0,5186357112818.0,20547023503.0,7542782663774.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,453.203.732.186,47.657.987.297,50.825.146.607,2.285.860.431.023,10.742.600.364,2.848.289.897.477,453203732186.0,47657987297.0,50825146607.0,2285860431023.0,10742600364.0,2848289897477.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,94.702.776.024,10.451.709.071,8.853.871.533,429.763.974.861,2.410.290.635,546.182.622.124,94702776024.0,10451709071.0,8853871533.0,429763974861.0,2410290635.0,546182622124.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,-,(1.666.666),-,(1.666.666),,,,-1666666.0,,-1666666.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(11.428.326.225),-,(3.647.231.049),(44.466.308.720),(1.461.411.835),(61.003.277.829),-11428326225.0,,-3647231049.0,-44466308720.0,-1461411835.0,-61003277829.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(1.670.815.657),-,(40.000.000),(269.835.552),-,(1.980.651.209),-1670815657.0,,-40000000.0,-269835552.0,,-1980651209.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,534.807.366.328,58.109.696.368,55.991.787.091,2.670.886.594.946,11.691.479.164,3.331.486.923.897,534807366328.0,58109696368.0,55991787091.0,2670886594946.0,11691479164.0,3331486923897.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.169.538.930.214,11.951.737.244,31.478.996.422,2.088.138.648.285,5.732.923.524,3.306.841.235.689,1169538930214.0,11951737244.0,31478996422.0,2088138648285.0,5732923524.0,3306841235689.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.652.094.847.736,1.500.028.173,33.374.801.757,2.515.470.517.872,8.855.544.339,4.211.295.739.877,1652094847736.0,1500028173.0,33374801757.0,2515470517872.0,8855544339.0,4211295739877.0
