row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Lợi thế kinh doanhtừ cổ phần hóaVND,Công cụvà dụng cụVND,Chi phí sắp xếpkhoản vayVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Lợi thế kinh doanhtừ cổ phần hóaVND,numeric__Công cụvà dụng cụVND,numeric__Chi phí sắp xếpkhoản vayVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,81.476.843.768,18.806.226.924,74.943.826.122,-,175.226.896.814,81476843768.0,18806226924.0,74943826122.0,,175226896814.0
Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Tăng từ hợp nhất kinh doanh (Thuyết minh 5),123.703.379.518,-,1.600.193.620,-,125.303.573.138,123703379518.0,,1600193620.0,,125303573138.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,12.381.659.238,12.050.000.000,24.431.659.238,,,12381659238.0,12050000000.0,24431659238.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,396.433.885.459,-,39.588.426.154,-,436.022.311.613,396433885459.0,,39588426154.0,,436022311613.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,28.333.334,-,28.333.334,,,28333334.0,,28333334.0
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,(3.684.665),-,(3.684.665),,,-3684665.0,,-3684665.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(6.194.949.938),(3.134.371.153),(44.603.295.327),(996.249.997),(54.928.866.415),-6194949938.0,-3134371153.0,-44603295327.0,-996249997.0,-54928866415.0
Thanh lý,Thanh lý,Thanh lý,-,-,(560.789.329),-,(560.789.329),,,-560789329.0,,-560789329.0
Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,-,-,(5.128.588),-,(5.128.588),,,-5128588.0,,-5128588.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,595.419.158.807,15.671.855.771,83.369.540.559,11.053.750.003,705.514.305.140,595419158807.0,15671855771.0,83369540559.0,11053750003.0,705514305140.0
