row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Quyền khai thác tài nguyên nước khoáng VND,Nhân hiệu VND,Quan hệ khách hàng VND,Tài nguyên nước khoáng VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Quyền khai thác tài nguyên nước khoáng VND,numeric__Nhân hiệu VND,numeric__Quan hệ khách hàng VND,numeric__Tài nguyên nước khoáng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,119.085.818.402,292.685.995.963,72.124.057.348,758.354.816.571,404.114.911.701,412.697.763.511,2.059.063.363.496,119085818402.0,292685995963.0,72124057348.0,758354816571.0,404114911701.0,412697763511.0,2059063363496.0
Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Nguyên giá > Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Tăng từ hợp nhất kinh doanh (Thuyết minh 5),-,182.791.671,-,341.271.580.044,19.682.854.149,-,361.137.225.864,,182791671.0,,341271580044.0,19682854149.0,,361137225864.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,1.167.200.000,-,-,-,-,1.167.200.000,,1167200000.0,,,,,1167200000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,119.085.818.402,294.035.987.634,72.124.057.348,1.099.626.396.615,423.797.765.850,412.697.763.511,2.421.367.789.360,119085818402.0,294035987634.0,72124057348.0,1099626396615.0,423797765850.0,412697763511.0,2421367789360.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,37.324.294.661,167.537.498.795,20.685.174.066,519.014.479.437,369.201.626.821,95.332.455.384,1.209.095.529.164,37324294661.0,167537498795.0,20685174066.0,519014479437.0,369201626821.0,95332455384.0,1209095529164.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.730.881.408,35.199.388.059,3.288.166.326,76.372.634.614,9.232.333.140,21.934.668.276,149.758.071.823,3730881408.0,35199388059.0,3288166326.0,76372634614.0,9232333140.0,21934668276.0,149758071823.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,41.055.176.069,202.736.886.854,23.973.340.392,595.387.114.051,378.433.959.961,117.267.123.660,1.358.853.600.987,41055176069.0,202736886854.0,23973340392.0,595387114051.0,378433959961.0,117267123660.0,1358853600987.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,81.761.523.741,125.148.497.168,51.438.883.282,239.340.337.134,34.913.284.880,317.365.308.127,849.967.834.332,81761523741.0,125148497168.0,51438883282.0,239340337134.0,34913284880.0,317365308127.0,849967834332.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,78.030.642.333,91.299.100.780,48.150.716.956,504.239.282.564,45.363.805.889,295.430.639.851,1.062.514.188.373,78030642333.0,91299100780.0,48150716956.0,504239282564.0,45363805889.0,295430639851.0,1062514188373.0
