row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Ngân hàng Triệu VND,Chứng khoán Triệu VND,Quản lý nợ Triệu VND,Cho thuê tài chính Triệu VND,Quản lý quỹ Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__Ngân hàng Triệu VND,numeric__Chứng khoán Triệu VND,numeric__Quản lý nợ Triệu VND,numeric__Cho thuê tài chính Triệu VND,numeric__Quản lý quỹ Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu lãi,Doanh thu > Doanh thu lãi,Doanh thu lãi,23.766.644,226.090,7.698,68.992,3.604,(57.666),24.015.362,23766644.0,226090.0,7698.0,68992.0,3604.0,-57666.0,24015362.0
+ Doanh thu lãi từ khách hàng bên ngoài,Doanh thu > + Doanh thu lãi từ khách hàng bên ngoài,+ Doanh thu lãi từ khách hàng bên ngoài,23.743.019,203.458,-,68.885,-,-,24.015.362,23743019.0,203458.0,,68885.0,,,24015362.0
+ Doanh thu lãi từ nội bộ,Doanh thu > + Doanh thu lãi từ nội bộ,+ Doanh thu lãi từ nội bộ,23.625,22.632,7.698,107,3.604,(57.666),-,23625.0,22632.0,7698.0,107.0,3604.0,-57666.0,
Doanh thu từ hoạt động dịch vụ,Doanh thu > Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,1.878.562,218.022,256,-,-,(2.241),2.094.599,1878562.0,218022.0,256.0,,,-2241.0,2094599.0
Doanh thu từ hoạt động kinh doanh khác,Doanh thu > Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,2.430.546,8.126,35.383,4.044,-,(89.486),2.388.613,2430546.0,8126.0,35383.0,4044.0,,-89486.0,2388613.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,,,
Chi phí lãi,Chi phí > Chi phí lãi,Chi phí lãi,(13.606.390),(78.226),-,(25.748),-,57.922,(13.652.442),-13606390.0,-78226.0,,-25748.0,,57922.0,-13652442.0
+ Chi phí lãi khách hàng bên ngoài,Chi phí > + Chi phí lãi khách hàng bên ngoài,+ Chi phí lãi khách hàng bên ngoài,(13.574.970),(75.605),-,(1.867),-,-,(13.652.442),-13574970.0,-75605.0,,-1867.0,,,-13652442.0
+ Chi phí lãi nội bộ,Chi phí > + Chi phí lãi nội bộ,+ Chi phí lãi nội bộ,(31.420),(2.621),-,(23.881),-,57.922,-,-31420.0,-2621.0,,-23881.0,,57922.0,
Chi phí khấu hao tài sản cố định,Chi phí > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,(291.692),(14.555),(582),(167),-,-,(306.996),-291692.0,-14555.0,-582.0,-167.0,,,-306996.0
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(6.923.709),(241.784),(33.583),(23.406),(2.417),6.745,(7.218.154),-6923709.0,-241784.0,-33583.0,-23406.0,-2417.0,6745.0,-7218154.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,7.253.961,117.673,9.172,23.715,1.187,(84.726),7.320.982,7253961.0,117673.0,9172.0,23715.0,1187.0,-84726.0,7320982.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(901.003),(17.879),-,(13.529),-,-,(932.411),-901003.0,-17879.0,,-13529.0,,,-932411.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,6.352.958,99.794,9.172,10.186,1.187,(84.726),6.388.571,6352958.0,99794.0,9172.0,10186.0,1187.0,-84726.0,6388571.0
