row_label_raw,row_label_full,col_0,Thuyết minh,31.12.2019Triệu VND,31.12.2018Triệu VND,numeric__Thuyết minh,numeric__31.12.2019Triệu VND,numeric__31.12.2018Triệu VND
Đầu tư vào công ty liên doanh,Đầu tư vào công ty liên doanh,Đầu tư vào công ty liên doanh,10.2,902,933,102.0,902.0,933.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,10.2,539,465,102.0,539.0,465.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,10.3,101.827,159.927,103.0,101827.0,159927.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,10.4,(5.384),(5.350),104.0,-5384.0,-5350.0
,,,,97.884,155.975,,97884.0,155975.0
