row_label_raw,row_label_full,col_0,Bảng tiền đồngTriệu VND,Bảng ngoại tệTriệu VND,Tổng cộngTriệu VND,numeric__Bảng tiền đồngTriệu VND,numeric__Bảng ngoại tệTriệu VND,numeric__Tổng cộngTriệu VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,40.060,-,40.060,40060.0,,40060.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,15.953.556,20.663.350,36.616.906,15953556.0,20663350.0,36616906.0
Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,107.995,1.636.630,1.744.625,107995.0,1636630.0,1744625.0
Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,-,1.342.154,1.342.154,,1342154.0,1342154.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,1.661.372,70.408,1.731.780,1661372.0,70408.0,1731780.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,1.560.787,12.060,1.572.847,1560787.0,12060.0,1572847.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,307.709,1.671,309.380,307709.0,1671.0,309380.0
Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,2.555.671,96.263,2.651.934,2555671.0,96263.0,2651934.0
,,,22.187.150,23.822.536,46.009.686,22187150.0,23822536.0,46009686.0
