row_label_raw,row_label_full,col_0,col_1,Tại ngày > Thuyết minh,Tại ngày > 31.12.2019Triệu VND,Tại ngày > 31.12.2018Triệu VND,numeric__col_1,numeric__Tại ngày > Thuyết minh,numeric__Tại ngày > 31.12.2019Triệu VND,numeric__Tại ngày > 31.12.2018Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,14,-,3.074.100,,14.0,,3074100.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,15,19.248.572,20.718.382,,15.0,19248572.0,20718382.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,16.673.949,17.173.804,,,16673949.0,17173804.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,2.574.623,3.544.578,,,2574623.0,3544578.0
III,B > III,III,Tiền gửi của khách hàng,16,308.129.391,269.998.503,,16.0,308129391.0,269998503.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,17,-,38.198,,17.0,,38198.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",18,156.147,160.093,,18.0,156147.0,160093.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,20.830.836,8.290.918,,19.0,20830836.0,8290918.0
VII,B > VII,VII,Các khoản nợ khác,,7.384.134,6.035.148,,,7384134.0,6035148.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,4.362.770,3.409.191,,,4362770.0,3409191.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20,3.021.364,2.625.957,,20.0,3021364.0,2625957.0
,,,TỔNG NỘ PHẢI TRẢ,,355.749.080,308.315.342,,,355749080.0,308315342.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,,27.765.359,21.017.899,,,27765359.0,21017899.0
1,B > 1,1,Vốn của tổ chức tín dụng,21,16.799.171,12.220.152,,21.0,16799171.0,12220152.0
a,B > a,a,Vốn điều lệ,,16.627.373,12.885.877,,,16627373.0,12885877.0
c,B > c,c,Thặng dư vốn cổ phần,,271.779,-,,,271779.0,
d,B > d,d,Cổ phiếu quỹ,,(99.981),(665.725),,,-99981.0,-665725.0
2,B > 2,2,Quỹ của tổ chức tín dụng,21.1,4.595.902,3.693.069,,211.0,4595902.0,3693069.0
5,B > 5,5,Lợi nhuận chưa phân phối,21.1,6.370.286,5.104.678,,211.0,6370286.0,5104678.0
a,B > a,a,Lợi nhuận năm nay,,5.107.104,4.357.763,,,5107104.0,4357763.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,1.263.182,746.915,,,1263182.0,746915.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,27.765.359,21.017.899,,,27765359.0,21017899.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,383.514.439,329.333.241,,,383514439.0,329333241.0
