row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2019,Quá hạn > Ngày 31 tháng 12 năm 2019,Không chịu lãi suất > Ngày 31 tháng 12 năm 2019,Dưới 1 tháng > Ngày 31 tháng 12 năm 2019,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2019,Trên 5 năm > Ngày 31 tháng 12 năm 2019,Tổng cộng > Ngày 31 tháng 12 năm 2019,numeric__Quá hạn > Ngày 31 tháng 12 năm 2019,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2019,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2019
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,6.437.812,-,-,-,-,-,-,6.437.812,,6437812.0,,,,,,,6437812.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,10.420.306,-,-,-,-,-,-,10.420.306,,10420306.0,,,,,,,10420306.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),400.000,-,13.746.762,14.330.024,1.865.327,70.000,30.000,-,30.442.113,400000.0,,13746762.0,14330024.0,1865327.0,70000.0,30000.0,,30442113.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,3.145.903,-,-,-,-,-,-,3.145.903,,3145903.0,,,,,,,3145903.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,87.753,-,-,-,-,-,-,87.753,,87753.0,,,,,,,87753.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),1.938.038,-,4.099.692,252.525.855,6.401.472,2.947.811,484.297,303.376,268.700.541,1938038.0,,4099692.0,252525855.0,6401472.0,2947811.0,484297.0,303376.0,268700541.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,708.161,-,-,-,-,25.221.860,30.493.004,56.423.025,,708161.0,,,,,25221860.0,30493004.0,56423025.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,103.268,-,-,-,-,-,-,103.268,,103268.0,,,,,,,103268.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.770.219,-,-,-,-,-,-,3.770.219,,3770219.0,,,,,,,3770219.0
