row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2019Triệu VND,Tại ngày > 31.12.2018Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2019Triệu VND,numeric__Tại ngày > 31.12.2018Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,6.437.812,6.129.169,,4.0,6437812.0,6129169.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,10.420.306,10.683.536,,5.0,10420306.0,10683536.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tin dụng khác,6,30.341.599,18.769.776,,6.0,30341599.0,18769776.0
1,A > 1,1,Tiền gửi tại các tổ chức tin dụng khác,6.1,19.390.796,12.983.626,,61.0,19390796.0,12983626.0
2,A > 2,2,Cho vay các tổ chức tin dụng khác,6.1,11.051.317,5.926.542,,61.0,11051317.0,5926542.0
3,A > 3,3,Dự phòng rủi ro,6.3,(100.514),(140.392),,63.0,-100514.0,-140392.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,2.985.262,1.177.972,,7.0,2985262.0,1177972.0
1,A > 1,1,Chứng khoán kinh doanh,,3.145.903,1.339.157,,,3145903.0,1339157.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(160.641),(161.185),,,-160641.0,-161185.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,17,87.753,-,,17.0,87753.0,
VI,A > VI,VI,Cho vay khách hàng,8,266.164.852,227.983.048,,8.0,266164852.0,227983048.0
1,A > 1,1,Cho vay khách hàng,,268.700.541,230.527.220,,,268700541.0,230527220.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,8.7,(2.535.689),(2.544.172),,87.0,-2535689.0,-2544172.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,9,55.956.160,53.380.061,,9.0,55956160.0,53380061.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,9.1,10.601.503,8.201.643,,91.0,10601503.0,8201643.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,9.1,45.821.522,45.635.016,,91.0,45821522.0,45635016.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,9.3,(466.865),(456.598),,93.0,-466865.0,-456598.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",10,97.884,155.975,,10.0,97884.0,155975.0
2,A > 2,2,Vốn góp liên doanh,10.2,902,933,,102.0,902.0,933.0
3,A > 3,3,Đầu tư vào công ty liên kết,10.2,539,465,,102.0,539.0,465.0
4,A > 4,4,Đầu tư dài hạn khác,10.3,101.827,159.927,,103.0,101827.0,159927.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,10.4,(5.384),(5.350),,104.0,-5384.0,-5350.0
X,A > X,X,Tài sản cố định,11,3.770.219,3.233.388,,11.0,3770219.0,3233388.0
1,A > 1,1,Tài sản cố định hữu hình,11.1,2.721.100,2.640.643,,111.0,2721100.0,2640643.0
a,A > a,a,Nguyên giá tài sản cố định,,4.737.359,4.414.779,,,4737359.0,4414779.0
b,A > b,b,Hao mòn tài sản cố định,,(2.016.259),(1.774.136),,,-2016259.0,-1774136.0
3,A > 3,3,Tài sản cố định vô hình,11.2,1.049.119,592.745,,112.0,1049119.0,592745.0
a,A > a,a,Nguyên giá tài sản cố định,,1.409.414,894.744,,,1409414.0,894744.0
b,A > b,b,Hao mòn tài sản cố định,,(360.295),(301.999),,,-360295.0,-301999.0
XI,A > XI,XI,Bất động sản đầu tư,12,361.676,247.454,,12.0,361676.0,247454.0
a,A > a,a,Nguyên giá bất động sản đầu tư,,364.877,249.749,,,364877.0,249749.0
b,A > b,b,Hao mòn bất động sản đầu tư,,(3.201),(2.295),,,-3201.0,-2295.0
XII,A > XII,XII,Tài sản Có khác,13,6.890.916,7.572.862,,13.0,6890916.0,7572862.0
1,A > 1,1,Các khoản phải thu,13.1,3.740.459,4.393.501,,131.0,3740459.0,4393501.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.676.311,3.456.607,,,3676311.0,3456607.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,13.4,23.041,65.503,,134.0,23041.0,65503.0
4,A > 4,4,Tài sản Có khác,13.2,1.054.539,982.213,,132.0,1054539.0,982213.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,13.3,(1.603.434),(1.324.962),,133.0,-1603434.0,-1324962.0
,,,TỔNG 1ÀI SẢN,,383.514.439,329.333.241,,,383514439.0,329333241.0
