row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Cổ phiếuquỹTriệu VND,Quỹ dự trữbổ sung vốnđiều lệTriệu VND,Quỹ dựphòngtài chínhTriệu VND,Các quỹkhác (i)Triệu VND,Lợi nhuậnchưa phânphốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__Quỹ dự trữbổ sung vốnđiều lệTriệu VND,numeric__Quỹ dựphòngtài chínhTriệu VND,numeric__Các quỹkhác (i)Triệu VND,numeric__Lợi nhuậnchưa phânphốiTriệu VND,numeric__Tổng cộngTriệu VND
Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,10.273.239,-,(665.725),619.487,1.981.138,313.155,3.509.553,16.030.847,10273239.0,,-665725.0,619487.0,1981138.0,313155.0,3509553.0,16030847.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,5.137.052,5.137.052,,,,,,,5137052.0,5137052.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,256.216,512.432,10.641,(779.289),-,,,,256216.0,512432.0,10641.0,-779289.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(50.000),(50.000),,,,,,,-50000.0,-50000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,2.612.638,-,-,-,-,-,(2.612.638),-,2612638.0,,,,,,-2612638.0,
Mua cổ phiếu thưởng cho nhân viên (ii),Mua cổ phiếu thưởng cho nhân viên (ii),Mua cổ phiếu thưởng cho nhân viên (ii),-,-,-,-,-,-,(100.000),(100.000),,,,,,,-100000.0,-100000.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,12.885.877,-,(665.725),875.703,2.493.570,323.796,5.104.678,21.017.899,12885877.0,,-665725.0,875703.0,2493570.0,323796.0,5104678.0,21017899.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,6.009.937,6.009.937,,,,,,,6009937.0,6009937.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,295.885,591.772,15.176,(902.833),-,,,,295885.0,591772.0,15176.0,-902833.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(100.000),(100.000),,,,,,,-100000.0,-100000.0
Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),3.741.496,-,-,-,-,-,(3.741.496),-,3741496.0,,,,,,-3741496.0,
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,271.779,565.744,-,-,-,-,837.523,,271779.0,565744.0,,,,,837523.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,16.627.373,271.779,(99.981),1.171.588,3.085.342,338.972,6.370.286,27.765.359,16627373.0,271779.0,-99981.0,1171588.0,3085342.0,338972.0,6370286.0,27765359.0
