row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Từ trên 1 đến 5 năm,Trên 5 năm,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 đến 6 tháng,numeric__Từ trên 6 đến 12 tháng,numeric__Từ trên 1 đến 5 năm,numeric__Trên 5 năm
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 5,20%","4,20% - 5,40%","4,20% - 5,20%",(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 2,70%","0,01% - 2,90%",(*),(*),(*),(*),,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"6,50% - 13,87%","1,00% - 20,66%","5,66% - 21,43%","1,60% - 24,00%","5,60% - 28,00%","4,90% - 22,00%",,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"4,30% - 5,60%","1,00% - 8,50%","2,50% - 5,00%","3,80% - 7,50%",(*),(*),,,,,,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),(*),(*),(*),"2,90% - 9,20%","3,40% - 11,50%",,,,,,
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),(*),(*),"7,70% - 8,30%",(*),(*),,,,,,
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 5,20%","5,15% - 5,99%","5,35% - 5,40%",(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 2,80%","2,60% - 3,18%","3,49%","3,57%",(*),(*),,,0.0349,0.035699999999999996,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 7,00%","0,00% - 5,50%","0,00% - 7,50%","0,00% - 7,45%","0,00% - 7,70%",(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,"0,00%","0,00% - 0,10%","0,00%","0,00%","0,00%",(*),0.0,,0.0,0.0,0.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),"4,97% - 5,04%",(*),(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,(*),(*),(*),(*),(*),"1,91%",,,,,,0.0191
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,,,,,,,
▪ VND,Phát hành giấy tờ có giá > ▪ VND,▪ VND,(*),(*),(*),"8,30% - 9,00%","6,00% - 9,00%","7,35%",,,,,,0.0735
