row_label_raw,row_label_full,col_0,2019Triệu VND,2018Triệu VNDPhân loại lại,numeric__2019Triệu VND,numeric__2018Triệu VNDPhân loại lại
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",13.444,13.719,13444.0,13719.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,3.763.241,3.220.678,3763241.0,3220678.0
- Chi lương và phụ cấp (i),- Chi lương và phụ cấp (i),- Chi lương và phụ cấp (i),1.656.145,1.619.607,1656145.0,1619607.0
- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,344.978,329.009,344978.0,329009.0
- Chi trợ cấp,- Chi trợ cấp,- Chi trợ cấp,10.239,5.511,10239.0,5511.0
- Chi khác cho nhân viên (i),- Chi khác cho nhân viên (i),- Chi khác cho nhân viên (i),1.751.879,1.266.551,1751879.0,1266551.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,1.643.038,1.379.216,1643038.0,1379216.0
- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,345.522,306.996,345522.0,306996.0
- Chi khác,- Chi khác,- Chi khác,1.297.516,1.072.220,1297516.0,1072220.0
Chi cho hoạt động quản lý,Chi cho hoạt động quản lý,Chi cho hoạt động quản lý,2.279.266,1.943.620,2279266.0,1943620.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",330.101,302.316,330101.0,302316.0
Chi phí dự phòng (ii),Chi phí dự phòng (ii),Chi phí dự phòng (ii),278.506,(147.332),278506.0,-147332.0
,,,8.307.596,6.712.217,8307596.0,6712217.0
