row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2019,Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2019,Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2019,Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2019,Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2019,Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2019,Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2019,Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2019,Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2019,numeric__Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2019,numeric__Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2019,numeric__Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2019,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2019,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2019,numeric__Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2019
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,6.437.812,-,-,-,-,6.437.812,,,6437812.0,,,,,6437812.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,10.420.306,-,-,-,-,10.420.306,,,10420306.0,,,,,10420306.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),400.000,-,17.954.747,11.967.366,120.000,-,-,30.442.113,400000.0,,17954747.0,11967366.0,120000.0,,,30442113.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,3.145.903,-,-,-,-,3.145.903,,,3145903.0,,,,,3145903.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,87.753,-,-,-,-,87.753,,,87753.0,,,,,87753.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),1.360.683,577.355,14.356.841,34.471.738,96.459.617,27.402.992,94.071.315,268.700.541,1360683.0,577355.0,14356841.0,34471738.0,96459617.0,27402992.0,94071315.0,268700541.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,-,1.208.156,249.766,4.478.368,32.553.333,17.933.402,56.423.025,,,1208156.0,249766.0,4478368.0,32553333.0,17933402.0,56423025.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,-,-,-,-,-,103.268,103.268,,,,,,,103268.0,103268.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,3.770.219,3.770.219,,,,,,,3770219.0,3770219.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,361.676,361.676,,,,,,,361676.0,361676.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),274.193,-,6.887.411,-,63.178,742.090,527.478,8.494.350,274193.0,,6887411.0,,63178.0,742090.0,527478.0,8494350.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.034.876,577.355,60.498.929,46.688.870,101.121.163,60.698.415,116.767.358,388.386.966,2034876.0,577355.0,60498929.0,46688870.0,101121163.0,60698415.0,116767358.0,388386966.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,18.684.562,529.760,15.441,17.886,923,19.248.572,,,18684562.0,529760.0,15441.0,17886.0,923.0,19248572.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,156.603.437,50.261.492,90.613.526,10.407.416,243.520,308.129.391,,,156603437.0,50261492.0,90613526.0,10407416.0,243520.0,308129391.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,26,7.761,24.493,89.107,34.760,156.147,,,26.0,7761.0,24493.0,89107.0,34760.0,156147.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,76.000,1.224.617,16.109.800,3.420.419,20.830.836,,,,76000.0,1224617.0,16109800.0,3420419.0,20830836.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,7.384.134,-,-,-,-,7.384.134,,,7384134.0,,,,,7384134.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,182.672.159,50.875.013,91.878.077,26.624.209,3.699.622,355.749.080,,,182672159.0,50875013.0,91878077.0,26624209.0,3699622.0,355749080.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.034.876,577.355,(122.173.230),(4.186.143),9.243.086,34.074.206,113.067.736,32.637.886,2034876.0,577355.0,-122173230.0,-4186143.0,9243086.0,34074206.0,113067736.0,32637886.0
