row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2019,Nguyên giá > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,2.440.562,1.453.867,351.934,168.416,4.414.779,2440562.0,1453867.0,351934.0,168416.0,4414779.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.248,189.152,55.711,4.470,253.581,4248.0,189152.0,55711.0,4470.0,253581.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,129.271,-,16,-,129.287,129271.0,,16.0,,129287.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(18.054),(14.628),(18.496),(9.110),(60.288),-18054.0,-14628.0,-18496.0,-9110.0,-60288.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(293),1.865,(1.125),(447),-,-293.0,1865.0,-1125.0,-447.0,
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,2.555.734,1.630.256,388.040,163.329,4.737.359,2555734.0,1630256.0,388040.0,163329.0,4737359.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2019,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,433.332,973.004,220.734,147.066,1.774.136,433332.0,973004.0,220734.0,147066.0,1774136.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,64.318,174.677,34.810,12.515,286.320,64318.0,174677.0,34810.0,12515.0,286320.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(3.541),(14.451),(17.218),(8.987),(44.197),-3541.0,-14451.0,-17218.0,-8987.0,-44197.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,-,389,(2),(387),-,,389.0,-2.0,-387.0,
Tại ngày 31 tháng 12 năm 2019,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,494.109,1.133.619,238.324,150.207,2.016.259,494109.0,1133619.0,238324.0,150207.0,2016259.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,2.007.230,480.863,131.200,21.350,2.640.643,2007230.0,480863.0,131200.0,21350.0,2640643.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,2.061.625,496.637,149.716,13.122,2.721.100,2061625.0,496637.0,149716.0,13122.0,2721100.0
