row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Ngân hàngTriệu VND,Chứng khoánTriệu VND,Quản lý nợTriệu VND,Cho thuêtài chínhTriệu VND,Quản lý quỹTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Ngân hàngTriệu VND,numeric__Chứng khoánTriệu VND,numeric__Quản lý nợTriệu VND,numeric__Cho thuêtài chínhTriệu VND,numeric__Quản lý quỹTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",6.129.164,-,5,-,-,-,6.129.169,6129164.0,,5.0,,,,6129169.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,3.162.339,70.042,16,991,-,-,3.233.388,3162339.0,70042.0,16.0,991.0,,,3233388.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,319.269.531,2.708.016,415.113,858.281,52.629,(3.332.886),319.970.684,319269531.0,2708016.0,415113.0,858281.0,52629.0,-3332886.0,319970684.0
,,,328.561.034,2.778.058,415.134,859.272,52.629,(3.332.886),329.333.241,328561034.0,2778058.0,415134.0,859272.0,52629.0,-3332886.0,329333241.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Nợ phải trả khách hàng bên ngoài,Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,306.045.787,944.701,16.847,519.002,84,(1.065.552),306.460.869,306045787.0,944701.0,16847.0,519002.0,84.0,-1065552.0,306460869.0
Nợ phải trả nội bộ,Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,1.234.639,10.758,109,2.052,304,-,1.247.862,1234639.0,10758.0,109.0,2052.0,304.0,,1247862.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,606.550,-,61,-,-,-,606.611,606550.0,,61.0,,,,606611.0
,,,307.886.976,955.459,17.017,521.054,388,(1.065.552),308.315.342,307886976.0,955459.0,17017.0,521054.0,388.0,-1065552.0,308315342.0
