row_label_raw,row_label_full,col_0,31.12.2019 > Nguyên giá Triệu VND,31.12.2019 > Giá trị ghi số Triệu VND,31.12.2018 > Nguyên giá Triệu VND,31.12.2018 > Giá trị ghi số Triệu VND,numeric__31.12.2019 > Nguyên giá Triệu VND,numeric__31.12.2019 > Giá trị ghi số Triệu VND,numeric__31.12.2018 > Nguyên giá Triệu VND,numeric__31.12.2018 > Giá trị ghi số Triệu VND
Công ty Cổ phần Sài Gòn Kim hoàn ACB-SJC,Công ty Cổ phần Sài Gòn Kim hoàn ACB-SJC,Công ty Cổ phần Sài Gòn Kim hoàn ACB-SJC,1.000,902,1.000,933,1000.0,902.0,1000.0,933.0
Công ty Cổ phần Dịch vụ Bảo vệ Ngân hàng Á Châu,Công ty Cổ phần Dịch vụ Bảo vệ Ngân hàng Á Châu,Công ty Cổ phần Dịch vụ Bảo vệ Ngân hàng Á Châu,200,539,200,465,200.0,539.0,200.0,465.0
,,,1.200,1.441,1.200,1.398,1200.0,1441.0,1200.0,1398.0
