row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",62.708.125.700,38.773.663.019,62708125700.0,38773663019.0
"Chi phí thuê đất, thuê mặt bằng","Chi phí thuê đất, thuê mặt bằng","Chi phí thuê đất, thuê mặt bằng",126.819.529.468,107.228.120.987,126819529468.0,107228120987.0
Quyền thuê đất,Quyền thuê đất,Quyền thuê đất,344.020.175.549,-,344020175549.0,
Chi phí lãi vay các dự án BOT,Chi phí lãi vay các dự án BOT,Chi phí lãi vay các dự án BOT,1.129.365.261.518,1.154.400.817.063,1129365261518.0,1154400817063.0
Chi phí lắp đặt và thay đồng hồ đo nước,Chi phí lắp đặt và thay đồng hồ đo nước,Chi phí lắp đặt và thay đồng hồ đo nước,33.272.346.015,-,33272346015.0,
Chi phí trung tu dự án BOT,Chi phí trung tu dự án BOT,Chi phí trung tu dự án BOT,45.756.985.676,60.969.659.668,45756985676.0,60969659668.0
"Chi phí cải tạo, sửa chữa, di đời tài sản","Chi phí cải tạo, sửa chữa, di đời tài sản","Chi phí cải tạo, sửa chữa, di đời tài sản",63.852.111.779,69.390.107.873,63852111779.0,69390107873.0
"Chi phí quảng cáo, truyền thông, xây dựng thương hiệu","Chi phí quảng cáo, truyền thông, xây dựng thương hiệu","Chi phí quảng cáo, truyền thông, xây dựng thương hiệu",74.199.554.701,-,74199554701.0,
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,73.328.707.486,35.975.268.239,73328707486.0,35975268239.0
Cộng,Cộng,Cộng,1.953.322.797.892,1.466.737.636.849,1953322797892.0,1466737636849.0
