row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B -,B -,B -,TÀI SẢN DÀI HẠN,200,,24.372.149.784.111,16.682.948.332.648,,200.0,,24372149784111.0,16682948332648.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,1.390.449.303.582,1.274.068.077.720,,210.0,,1390449303582.0,1274068077720.0
1.,1.,1.,Phải thu dài hạn của khách hàng,211,V.3.2,6.250.000.000,6.250.000.000,,211.0,,6250000000.0,6250000000.0
2.,2.,2.,Trả trước cho người bán dài hạn,212,V.4.2,6.260.030.040,103.618.779.409,,212.0,,6260030040.0,103618779409.0
3.,3.,3.,Phải thu về cho vay dài hạn,215,V.5.2,199.138.000.000,30.216.000.000,,215.0,,199138000000.0,30216000000.0
4.,4.,4.,Phải thu dài hạn khác,216,V.6.2,1.183.786.305.368,1.138.968.330.137,,216.0,,1183786305368.0,1138968330137.0
5.,5.,5.,Dự phòng phải thu dài hạn khó đòi,219,V.7,(4.985.031.826),(4.985.031.826),,219.0,,-4985031826.0,-4985031826.0
II.,II.,II.,Tài sản cố định,220,,13.091.378.197.609,7.095.559.464.254,,220.0,,13091378197609.0,7095559464254.0
1.,1.,1.,Tài sản cố định hữu hình,221,V.11,11.856.936.682.297,6.227.417.965.201,,221.0,,11856936682297.0,6227417965201.0
1.,1.,1.,Nguyên giá,222,,20.726.282.076.714,9.619.775.166.416,,222.0,,20726282076714.0,9619775166416.0
1.,1.,1.,Giá trị hao mòn lũy kế,223,,(8.869.345.394.417),(3.392.357.201.215),,223.0,,-8869345394417.0,-3392357201215.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,V.10,332.598.684.495,24.103.295.454,,224.0,,332598684495.0,24103295454.0
2.,2.,2.,Nguyên giá,225,,393.176.051.869,29.712.955.440,,225.0,,393176051869.0,29712955440.0
2.,2.,2.,Giá trị hao mòn lũy kế,226,,(60.577.367.374),(5.609.659.986),,226.0,,-60577367374.0,-5609659986.0
3.,3.,3.,Tài sản cố định vô hình,227,V.12,901.842.830.817,844.038.203.599,,227.0,,901842830817.0,844038203599.0
3.,3.,3.,Nguyên giá,228,,1.114.867.580.412,983.509.956.972,,228.0,,1114867580412.0,983509956972.0
3.,3.,3.,Giá trị hao mòn lũy kế,229,,(213.024.749.595),(139.471.753.373),,229.0,,-213024749595.0,-139471753373.0
III.,III.,III.,Bất động sản đầu tư,230,V.13,1.350.088.176.993,1.390.646.940.652,,230.0,,1350088176993.0,1390646940652.0
III.,III.,III.,Nguyên giá,231,,1.842.479.365.027,1.820.235.913.219,,231.0,,1842479365027.0,1820235913219.0
III.,III.,III.,Giá trị hao mòn lũy kế,232,,(492.391.188.034),(429.588.972.567),,232.0,,-492391188034.0,-429588972567.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,2.891.900.079.299,2.279.204.614.118,,240.0,,2891900079299.0,2279204614118.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,V.14.1,437.533.717.685,416.704.860.195,,241.0,,437533717685.0,416704860195.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,V.14.2,2.454.366.361.614,1.862.499.753.923,,242.0,,2454366361614.0,1862499753923.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,1.217.476.398.694,998.620.149.845,,250.0,,1217476398694.0,998620149845.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,V.2.3,550.747.058.376,825.479.026.699,,252.0,,550747058376.0,825479026699.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,V.2.4,662.300.335.184,172.517.579.924,,253.0,,662300335184.0,172517579924.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,V.2.4,(11.670.994.866),(376.456.778),,254.0,,-11670994866.0,-376456778.0
4.,4.,4.,Đầu tư nắm giữ đến ngày đáo hạn,255,V.2.2.2,16.100.000.000,1.000.000.000,,255.0,,16100000000.0,1000000000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,4.430.857.627.934,3.644.849.086.059,,260.0,,4430857627934.0,3644849086059.0
1.,1.,1.,Chi phí trả trước dài hạn,261,V.9.2,1.953.322.797.892,1.466.737.636.849,,261.0,,1953322797892.0,1466737636849.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,85.575.724.894,29.578.166.543,,262.0,,85575724894.0,29578166543.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,6.015.972.540,,,263.0,,6015972540.0,
4.,4.,4.,Lợi thế thương mại,269,V.15,2.385.943.132.608,2.148.533.282.667,,269.0,,2385943132608.0,2148533282667.0
,,,TỔNG CỘNG TÀI SẢN,270,,52.231.240.200.353,28.987.313.377.347,,270.0,,52231240200353.0,28987313377347.0
