row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,34.288.926.372.179,17.436.446.915.050,,300.0,,34288926372179.0,17436446915050.0
I.,I.,I.,Nợ ngắn hạn,310,,17.615.008.031.432,8.875.691.110.240,,310.0,,17615008031432.0,8875691110240.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.16,2.471.184.504.630,1.216.419.633.997,,311.0,,2471184504630.0,1216419633997.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.17.1,381.577.171.205,334.024.851.724,,312.0,,381577171205.0,334024851724.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.18.1,729.426.109.430,271.423.182.220,,313.0,,729426109430.0,271423182220.0
4.,4.,4.,Phải trả người lao động,314,,480.809.682.190,283.021.426.500,,314.0,,480809682190.0,283021426500.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,V.19.1,422.565.946.758,213.258.713.037,,315.0,,422565946758.0,213258713037.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,V.20.1,882.003.683.090,408.801.910.767,,318.0,,882003683090.0,408801910767.0
7.,7.,7.,Phải trả ngắn hạn khác,319,V.21.1,2.289.584.724.661,1.948.532.411.042,,319.0,,2289584724661.0,1948532411042.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,V.23.1,9.694.408.302.696,4.074.425.503.531,,320.0,,9694408302696.0,4074425503531.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,V.22.1,218.052.628.902,88.601.102.590,,321.0,,218052628902.0,88601102590.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,45.395.277.870,37.182.374.832,,322.0,,45395277870.0,37182374832.0
II.,II.,II.,Nợ dài hạn,330,,16.673.918.340.747,8.560.755.804.810,,330.0,,16673918340747.0,8560755804810.0
1.,1.,1.,Phải trả người bán dài hạn,331,,437.721.966,5.800.920.000,,331.0,,437721966.0,5800920000.0
2.,2.,2.,Người mua trả tiền trước dài hạn,332,V.17.2,37.275.349.942,42.703.951.553,,332.0,,37275349942.0,42703951553.0
3.,3.,3.,Chi phí phải trả dài hạn,333,V.19.2,105.212.955.394,1.808.699.047,,333.0,,105212955394.0,1808699047.0
4.,4.,4.,Doanh thu chưa thực hiện dài hạn,336,V.20.2,41.665.156.596,47.698.778.169,,336.0,,41665156596.0,47698778169.0
5.,5.,5.,Phải trả dài hạn khác,337,V.21.2,3.630.085.860.640,1.686.223.346.114,,337.0,,3630085860640.0,1686223346114.0
6.,6.,6.,Vay và nợ thuê tài chính dài hạn,338,V.23.2,12.227.303.009.612,6.141.452.367.019,,338.0,,12227303009612.0,6141452367019.0
7.,7.,7.,Thuế thu nhập hoãn lại phải trả,341,,604.624.333.633,578.052.263.702,,341.0,,604624333633.0,578052263702.0
8.,8.,8.,Dự phòng phải trả dài hạn,342,V.22.2,27.313.952.964,57.015.479.206,,342.0,,27313952964.0,57015479206.0
D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,400,,17.942.313.828.174,11.550.866.462.297,,400.0,,17942313828174.0,11550866462297.0
I.,I.,I.,Vốn chủ sở hữu,410,V.24,17.942.313.828.174,11.550.866.462.297,,410.0,,17942313828174.0,11550866462297.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,10.682.855.810.000,8.925.119.650.000,,411.0,,10682855810000.0,8925119650000.0
-,-,-,Cổ phiếu phố thông có quyền biểu quyết,411a,,10.682.855.810.000,8.925.119.650.000,,,,10682855810000.0,8925119650000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,(790.748.531.426),(790.435.631.426),,412.0,,-790748531426.0,-790435631426.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,167.254.910.558,7.688.472.567,,414.0,,167254910558.0,7688472567.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,125.326.835.329,125.326.835.329,,418.0,,125326835329.0,125326835329.0
5.,5.,5.,Quỹ khác thuộc vốn chủ sở hữu,420,,356.774.430,190.529.621,,420.0,,356774430.0,190529621.0
6.,6.,6.,Lợi nhuận sau thuế chưa phân phối,421,,584.229.973.290,327.382.257.116,,421.0,,584229973290.0,327382257116.0
-,-,-,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,155.120.361.953,47.069.449.308,,,,155120361953.0,47069449308.0
-,-,-,LNST chưa phân phối kỳ này,421b,,429.109.611.337,280.312.807.808,,,,429109611337.0,280312807808.0
7.,7.,7.,Lợi ích cổ đông không kiểm soát,429,,7.173.038.055.993,2.955.594.349.090,,429.0,,7173038055993.0,2955594349090.0
,,,TỔNG CỘNG NGUỒN VỐN,440,,52.231.240.200.353,28.987.313.377.347,,440.0,,52231240200353.0,28987313377347.0
