row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),"Nhà cửa, vật kiến trúc",Tài sản khác,Tổng cộng,numeric__Quyền sử dụng đất (*),"numeric__Nhà cửa, vật kiến trúc",numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,159.362.332.080,1.130.332.081.139,530.541.500.000,1.820.235.913.219,159362332080.0,1130332081139.0,530541500000.0,1820235913219.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,22.243.451.808,-,22.243.451.808,,22243451808.0,,22243451808.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,159.362.332.080,1.152.575.532.947,530.541.500.000,1.842.479.365.027,159362332080.0,1152575532947.0,530541500000.0,1842479365027.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,25.483.284.016,357.407.647.888,46.698.040.663,429.588.972.567,25483284016.0,357407647888.0,46698040663.0,429588972567.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.288.015.640,41.948.186.275,15.566.013.552,62.802.215.467,5288015640.0,41948186275.0,15566013552.0,62802215467.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,30.771.299.656,399.355.834.163,62.264.054.215,492.391.188.034,30771299656.0,399355834163.0,62264054215.0,492391188034.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,133.879.048.064,772.924.433.251,483.843.459.337,1.390.646.940.652,133879048064.0,772924433251.0,483843459337.0,1390646940652.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,128.591.032.424,753.219.698.784,468.277.445.785,1.350.088.176.993,128591032424.0,753219698784.0,468277445785.0,1350088176993.0
