row_label_raw,row_label_full,15. Lợi thế thương mại,15. Lợi thế thương mại_1,15. Lợi thế thương mại_2,15. Lợi thế thương mại_3,15. Lợi thế thương mại_4,15. Lợi thế thương mại_5,numeric__15. Lợi thế thương mại_1,numeric__15. Lợi thế thương mại_2,numeric__15. Lợi thế thương mại_3,numeric__15. Lợi thế thương mại_4,numeric__15. Lợi thế thương mại_5
,,,Công ty cổ phần Tasco Auto (*),Công ty TNHH Bảo hiểm Tasco,Công ty TNHH Tasco Investment,Công ty cổ phần DNP Holding,Cộng,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,2.914.536.523.666,99.678.880.326,-,-,3.014.215.403.992,2914536523666.0,99678880326.0,,,3014215403992.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,13.058.339.165,-,23.240.451.757,510.646.246.216,546.945.037.138,13058339165.0,,23240451757.0,510646246216.0,546945037138.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,2.927.594.862.831,99.678.880.326,23.240.451.757,510.646.246.216,3.561.160.441.130,2927594862831.0,99678880326.0,23240451757.0,510646246216.0,3561160441130.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,843.254.373.251,22.427.748.074,-,-,865.682.121.325,843254373251.0,22427748074.0,,,865682121325.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,302.541.477.535,9.967.888.033,1.697.844.114,4.255.385.385,318.462.595.067,302541477535.0,9967888033.0,1697844114.0,4255385385.0,318462595067.0
Điều chỉnh hợp nhất,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh hợp nhất,Điều chỉnh hợp nhất,(8.927.407.870),-,-,-,(8.927.407.870),-8927407870.0,,,,-8927407870.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.136.868.442.916,32.395.636.107,1.697.844.114,4.255.385.385,1.175.217.308.522,1136868442916.0,32395636107.0,1697844114.0,4255385385.0,1175217308522.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,2.071.282.150.415,77.251.132.252,-,-,2.148.533.282.667,2071282150415.0,77251132252.0,,,2148533282667.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,1.790.726.419.915,67.283.244.219,21.542.607.643,506.390.860.831,2.385.943.132.608,1790726419915.0,67283244219.0,21542607643.0,506390860831.0,2385943132608.0
