row_label_raw,row_label_full,Các bên cho vay,Vay ngắn hạn,Vay ngắn hạn_1,Vay dài hạn,Vay dài hạn_1,Vay dài hạn_2,Vay dài hạn_3,Vay dài hạn_4,numeric__Vay ngắn hạn,numeric__Vay ngắn hạn_1,numeric__Vay dài hạn,numeric__Vay dài hạn_1,numeric__Vay dài hạn_2,numeric__Vay dài hạn_3,numeric__Vay dài hạn_4
Các bên cho vay,Các bên cho vay,Các bên cho vay,Số dư,Lãi suất/năm(gồm lãi suấtvay dài hạnđến hạn trả),Số dư vay dài hạnđến hạn trả,Số dư vay dài hạnđến hạn trả,Tổng số dư,Lãi suất/năm,Kỳ hạn,,,,,,,
Công ty cổ phần Chứng khoán Sài Gòn - Hà Nội,Các bên cho vay > Công ty cổ phần Chứng khoán Sài Gòn - Hà Nội,Công ty cổ phần Chứng khoán Sài Gòn - Hà Nội,71.978.571.074,11%,-,-,-,,,71978571074.0,0.11,,,,,
Quỹ Đầu tư Phát triển Tiền Giang,Các bên cho vay > Quỹ Đầu tư Phát triển Tiền Giang,Quỹ Đầu tư Phát triển Tiền Giang,-,,1.275.172.000,8.601.834.534,9.877.006.534,"6,8% - 7,2%",240 tháng,,,1275172000.0,8601834534.0,9877006534.0,,
Công ty cổ phần Chứng khoán Nhất Việt,Các bên cho vay > Công ty cổ phần Chứng khoán Nhất Việt,Công ty cổ phần Chứng khoán Nhất Việt,9.598.000.000,"10,5%",-,-,-,,,9598000000.0,0.105,,,,,
Đối tượng khác,Các bên cho vay > Đối tượng khác,Đối tượng khác,29.150.000.000,,72.952.204.925,1.117.606.982.112,1.190.559.187.037,,,29150000000.0,,72952204925.0,1117606982112.0,1190559187037.0,,
Công ty cổ phần Đầu tư Thương mại Dầu khí Việt Nam,Các bên cho vay > Công ty cổ phần Đầu tư Thương mại Dầu khí Việt Nam,Công ty cổ phần Đầu tư Thương mại Dầu khí Việt Nam,3.300.000.000,12%,-,-,-,,,3300000000.0,0.12,,,,,
Công ty cổ phần Đầu tư T và D Việt Nam,Các bên cho vay > Công ty cổ phần Đầu tư T và D Việt Nam,Công ty cổ phần Đầu tư T và D Việt Nam,12.400.000.000,7%,-,-,-,,,12400000000.0,0.07,,,,,
Công ty cổ phần Atis,Các bên cho vay > Công ty cổ phần Atis,Công ty cổ phần Atis,-,,54.118.954.925,611.858.583.199,665.977.538.124,,120 tháng,,,54118954925.0,611858583199.0,665977538124.0,,
Công ty cổ phần Đầu tư Kinh doanh Nhà Bình Phước,Các bên cho vay > Công ty cổ phần Đầu tư Kinh doanh Nhà Bình Phước,Công ty cổ phần Đầu tư Kinh doanh Nhà Bình Phước,-,,133.250.000,266.500.000,399.750.000,0%,60 tháng,,,133250000.0,266500000.0,399750000.0,0.0,
Bộ Tài chính,Các bên cho vay > Bộ Tài chính,Bộ Tài chính,-,,13.500.000.000,172.309.901.757,185.809.901.757,"6,75%",300 tháng,,,13500000000.0,172309901757.0,185809901757.0,0.0675,
UBND tỉnh Bình Thuận,Các bên cho vay > UBND tỉnh Bình Thuận,UBND tỉnh Bình Thuận,-,,5.200.000.000,26.380.383.862,31.580.383.862,0%,180 tháng,,,5200000000.0,26380383862.0,31580383862.0,0.0,
Sở Kế hoạch và Đầu tư tinh Bình Thuận,Các bên cho vay > Sở Kế hoạch và Đầu tư tinh Bình Thuận,Sở Kế hoạch và Đầu tư tinh Bình Thuận,-,,-,6.091.613.294,6.091.613.294,0%,180 tháng,,,,6091613294.0,6091613294.0,0.0,
Công ty TNHH TM dịch vụ sản xuất Bình An An Đối tượng khác,Các bên cho vay > Công ty TNHH TM dịch vụ sản xuất Bình An An Đối tượng khác,Công ty TNHH TM dịch vụ sản xuất Bình An An Đối tượng khác,-,,-,61.000.000.000,61.000.000.000,"6,25%",24 tháng,,,,61000000000.0,61000000000.0,0.0625,
Vay cá nhân,Các bên cho vay > Vay cá nhân,Vay cá nhân,13.450.000.000,0%,-,-,-,,,13450000000.0,0.0,,,,,
Cộng,Các bên cho vay > Cộng,Cộng,8.500.610.623.119,,994.897.679.577,10.280.362.584.889,11.275.260.264.466,,,8500610623119.0,,994897679577.0,10280362584889.0,11275260264466.0,,
