row_label_raw,row_label_full,4.2 Trả trước cho người bán dài hạn,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Trả trước cho người bán là bên thứ ba,Trả trước cho người bán là bên thứ ba,Trả trước cho người bán là bên thứ ba,6.260.030.040,103.618.779.409,6260030040.0,103618779409.0
Công ty cổ phần VII Land (*),Công ty cổ phần VII Land (*),Công ty cổ phần VII Land (*),-,98.334.779.409,,98334779409.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,6.260.030.040,5.284.000.000,6260030040.0,5284000000.0
Cộng,Cộng,Cộng,6.260.030.040,103.618.779.409,6260030040.0,103618779409.0
