row_label_raw,row_label_full,3.1 Phải thu ngắn hạn của khách hàng,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khách hàng là bên thứ ba,Phải thu khách hàng là bên thứ ba,Phải thu khách hàng là bên thứ ba,3.667.449.842.400,1.600.308.363.189,3667449842400.0,1600308363189.0
Phải thu hoạt động xây lắp,Phải thu hoạt động xây lắp,Phải thu hoạt động xây lắp,456.096.468.183,501.836.224.166,456096468183.0,501836224166.0
Ủy ban nhân dân Phường Từ Liêm (trước đây là Ủy ban nhân dân Quận Nam Từ Liêm),Ủy ban nhân dân Phường Từ Liêm (trước đây là Ủy ban nhân dân Quận Nam Từ Liêm),Ủy ban nhân dân Phường Từ Liêm (trước đây là Ủy ban nhân dân Quận Nam Từ Liêm),244.883.010.283,244.883.010.283,244883010283.0,244883010283.0
Sở GTVT tỉnh Hưng Yên (trước đây là Sở GTVT tỉnh Thái Bình),Sở GTVT tỉnh Hưng Yên (trước đây là Sở GTVT tỉnh Thái Bình),Sở GTVT tỉnh Hưng Yên (trước đây là Sở GTVT tỉnh Thái Bình),89.903.800.000,89.903.800.000,89903800000.0,89903800000.0
Ban quản lý dự án điện 2 - Chi nhánh Tập đoàn Điện lực Việt Nam,Ban quản lý dự án điện 2 - Chi nhánh Tập đoàn Điện lực Việt Nam,Ban quản lý dự án điện 2 - Chi nhánh Tập đoàn Điện lực Việt Nam,105.687.234.019,145.843.910.147,105687234019.0,145843910147.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,15.622.423.881,21.205.503.736,15622423881.0,21205503736.0
Phải thu kinh doanh Bắt động sản,Phải thu kinh doanh Bắt động sản,Phải thu kinh doanh Bắt động sản,71.538.328.183,74.494.706.452,71538328183.0,74494706452.0
"Phải thu hoạt động bán hàng hóa, thành phẩm","Phải thu hoạt động bán hàng hóa, thành phẩm","Phải thu hoạt động bán hàng hóa, thành phẩm",2.489.005.713.848,797.168.350.750,2489005713848.0,797168350750.0
Công ty cổ phần Thương mại Dịch vụ Kinh doanh Phúc Gia Khang,Công ty cổ phần Thương mại Dịch vụ Kinh doanh Phúc Gia Khang,Công ty cổ phần Thương mại Dịch vụ Kinh doanh Phúc Gia Khang,252.378.237.729,-,252378237729.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,2.236.627.476.119,797.168.350.750,2236627476119.0,797168350750.0
Phải thu hoạt động khác,Phải thu hoạt động khác,Phải thu hoạt động khác,650.809.332.186,226.809.081.821,650809332186.0,226809081821.0
Phải thu khách hàng là bên liên quan,Phải thu khách hàng là bên liên quan,Phải thu khách hàng là bên liên quan,348.830.961.606,18.505.433.479,348830961606.0,18505433479.0
Phải thu kinh doanh Bắt động sản,Phải thu kinh doanh Bắt động sản,Phải thu kinh doanh Bắt động sản,3.593.319.700,3.393.400.000,3593319700.0,3393400000.0
Phải thu hoạt động bán hàng hóa,Phải thu hoạt động bán hàng hóa,Phải thu hoạt động bán hàng hóa,345.102.851.213,14.800.738.537,345102851213.0,14800738537.0
Phải thu hoạt động khác,Phải thu hoạt động khác,Phải thu hoạt động khác,134.790.693,311.294.942,134790693.0,311294942.0
(Chi tiết phải thu khách hàng là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khách hàng là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khách hàng là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khách hàng là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khách hàng là bên liên quan được thuyết minh tại thuyết minh số VIII.2),,
Cộng,(Chi tiết phải thu khách hàng là bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,4.016.280.804.006,1.618.813.796.668,4016280804006.0,1618813796668.0
