row_label_raw,row_label_full,col_0,Kinh doanh ô tô,"Đầu tư, kinh doanh BĐS",Dịch vụ thu phí đường bộ theo hình thức BOT,Dịch vụ thu phí theo hình thức điện tử không dùng,Hoạt động kinh doanh bảo hiểm và đầu tư khác,Tổng,numeric__Kinh doanh ô tô,"numeric__Đầu tư, kinh doanh BĐS",numeric__Dịch vụ thu phí đường bộ theo hình thức BOT,numeric__Dịch vụ thu phí theo hình thức điện tử không dùng,numeric__Hoạt động kinh doanh bảo hiểm và đầu tư khác,numeric__Tổng
DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,,,,,,
Tổng doanh thu,DOANH THU > Tổng doanh thu,Tổng doanh thu,28.225.344.945.350,285.640.030.564,738.751.611.109,452.175.917.043,546.838.515.177,30.248.751.019.243,28225344945350.0,285640030564.0,738751611109.0,452175917043.0,546838515177.0,30248751019243.0
Giảm trừ doanh thu,DOANH THU > Giảm trừ doanh thu,Giảm trừ doanh thu,12.889.934.475,-,6.759.916.975,-,216.108.309,19.865.959.759,12889934475.0,,6759916975.0,,216108309.0,19865959759.0
Doanh thu thuần,DOANH THU > Doanh thu thuần,Doanh thu thuần,28.212.455.010.875,285.640.030.564,731.991.694.134,452.175.917.043,546.622.406.868,30.228.885.059.484,28212455010875.0,285640030564.0,731991694134.0,452175917043.0,546622406868.0,30228885059484.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","DOANH THU > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",16.537.729.464,(42.287.411.718),601.748.683,-,-,(25.147.933.571),16537729464.0,-42287411718.0,601748683.0,,,-25147933571.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,269.318.833.146,(59.264.621.660),124.851.912.986,32.945.197.603,57.971.238.729,425.822.560.804,269318833146.0,-59264621660.0,124851912986.0,32945197603.0,57971238729.0,425822560804.0
Thuế thu nhập doanh nghiệp,KẾT QUẢ HOẠT ĐỘNG > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,89.576.884.173,10.973.702.755,11.801.501.180,-,8.723.382.605,121.075.470.713,89576884173.0,10973702755.0,11801501180.0,,8723382605.0,121075470713.0
Lợi nhuận trong kỳ,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,179.741.948.973,(70.238.324.415),113.050.411.806,32.945.197.603,49.247.856.124,304.747.090.091,179741948973.0,-70238324415.0,113050411806.0,32945197603.0,49247856124.0,304747090091.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
