row_label_raw,row_label_full,- Ông Nguyễn Minh Hiếu,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
- Bà Hoàng Thị Soa,- Bà Hoàng Thị Soa,- Bà Hoàng Thị Soa,Thành viên,
- Bà Trần Thị Linh,- Bà Trần Thị Linh,- Bà Trần Thị Linh,Thành viên,
