row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VND
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,787.998.482.387,425.822.560.804,,1.0,,787998482387.0,425822560804.0
2.,2.,2.,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,,
-,2. > -,-,Khấu hao tài sản cố định và bất động sản đầu tư,02,,1.078.114.682.566,865.411.482.042,,2.0,,1078114682566.0,865411482042.0
-,2. > -,-,Các khoản dự phòng,03,,29.830.773.881,64.300.931.784,,3.0,,29830773881.0,64300931784.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,499.170.629,886.541.491,,4.0,,499170629.0,886541491.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,(1.262.055.385.499),(672.226.266.724),,5.0,,-1262055385499.0,-672226266724.0
-,2. > -,-,Chi phí lãi vay,06,,932.240.531.785,623.497.739.767,,6.0,,932240531785.0,623497739767.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,1.566.628.255.749,1.307.692.989.164,,8.0,,1566628255749.0,1307692989164.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,(831.097.225.146),1.385.157.630.299,,9.0,,-831097225146.0,1385157630299.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,(1.103.417.240.730),(344.354.682.782),,10.0,,-1103417240730.0,-344354682782.0
-,2. > -,-,"Tăng, giảm các khoản phải trả",11,,1.005.479.834.275,381.625.510.567,,11.0,,1005479834275.0,381625510567.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,(146.462.417.092),(102.116.172.903),,12.0,,-146462417092.0,-102116172903.0
-,2. > -,-,Tiền lãi vay đã trả,14,,(723.476.006.374),(463.649.563.582),,14.0,,-723476006374.0,-463649563582.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,,(216.550.901.553),(97.195.576.949),,15.0,,-216550901553.0,-97195576949.0
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,,(4.781.180.099),(4.544.027.478),,17.0,,-4781180099.0,-4544027478.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(453.676.880.970),2.062.616.106.336,,20.0,,-453676880970.0,2062616106336.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1.,II. > 1.,1.,"Tiền chi đề mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,,(2.112.424.650.772),(711.475.586.949),,21.0,,-2112424650772.0,-711475586949.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,,382.503.172.521,81.820.095.713,,22.0,,382503172521.0,81820095713.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(8.239.828.759.488),(3.182.907.999.889),,23.0,,-8239828759488.0,-3182907999889.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,8.155.205.477.459,2.614.856.005.410,,24.0,,8155205477459.0,2614856005410.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(3.238.541.131.856),(937.401.046.390),,25.0,,-3238541131856.0,-937401046390.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,1.919.186.961.565,736.318.257.962,,26.0,,1919186961565.0,736318257962.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,421.894.054.042,223.165.638.708,,27.0,,421894054042.0,223165638708.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(2.712.004.876.529),(1.175.624.635.435),,30.0,,-2712004876529.0,-1175624635435.0
