row_label_raw,row_label_full,Dự phòng giảm giá hàng tồn kho đầu năm > Dự phòng trích lập trong năm,Năm nay > 2.964.742.502 > 4.545.506.381,Năm trước > 2.457.430.625 > 1.418.561.104,numeric__Năm nay > 2.964.742.502 > 4.545.506.381,numeric__Năm trước > 2.457.430.625 > 1.418.561.104
Dự phòng tăng do hợp nhất,Dự phòng tăng do hợp nhất,Dự phòng tăng do hợp nhất,55.398.186.540,259.185.023,55398186540.0,259185023.0
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,(29.156.070.454),(1.170.434.250),-29156070454.0,-1170434250.0
Dự phòng giảm do thoái vốn tại Công ty con,Dự phòng giảm do thoái vốn tại Công ty con,Dự phòng giảm do thoái vốn tại Công ty con,(26.489.340),-,-26489340.0,
Dự phòng giảm giá hàng tồn kho cuối năm,Dự phòng giảm giá hàng tồn kho cuối năm,Dự phòng giảm giá hàng tồn kho cuối năm,33.725.875.629,2.964.742.502,33725875629.0,2964742502.0
