row_label_raw,row_label_full,Các bên cho vay,Vay ngắn hạn,Vay ngắn hạn_1,Vay dài hạn,Vay dài hạn_1,Vay dài hạn_2,Vay dài hạn_3,Vay dài hạn_4,numeric__Vay ngắn hạn,numeric__Vay ngắn hạn_1,numeric__Vay dài hạn,numeric__Vay dài hạn_1,numeric__Vay dài hạn_2,numeric__Vay dài hạn_3,numeric__Vay dài hạn_4
Các bên cho vay,Các bên cho vay,Các bên cho vay,Số dư,Lãi suất/năm(gồm lãi suấtvay dài hạnđến hạn trả),Số dư vay dài hạnđến hạn trả,Số dư vay dài hạn,Tổng số dư,Lãi suất/năm,Kỳ hạn,,,,,,,
Ngân hàng TMCP Phát triển thành phố Hồ Chí Minh (HDB),Các bên cho vay > Ngân hàng TMCP Phát triển thành phố Hồ Chí Minh (HDB),Ngân hàng TMCP Phát triển thành phố Hồ Chí Minh (HDB),73.453.368.540,"5,7% - 5,9%",-,-,-,,,73453368540.0,,,,,,
Ngân hàng Sinopac,Các bên cho vay > Ngân hàng Sinopac,Ngân hàng Sinopac,65.087.528.616,"7,3% - 8,2%",-,-,-,,,65087528616.0,,,,,,
Ngân hàng TMCP Việt Á (VietABank),Các bên cho vay > Ngân hàng TMCP Việt Á (VietABank),Ngân hàng TMCP Việt Á (VietABank),134.540.000.000,"7,9% - 9,5%",44.982.562.700,-,44.982.562.700,"9,82%",24 tháng,134540000000.0,,44982562700.0,,44982562700.0,0.09820000000000001,
Ngân hàng TM TNHH E.sun,Các bên cho vay > Ngân hàng TM TNHH E.sun,Ngân hàng TM TNHH E.sun,144.652.028.207,"6,8% - 9,1%",-,-,-,,,144652028207.0,,,,,,
Ngân hàng TMCP Kỹ thương Việt Nam,Các bên cho vay > Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,12.000.155.000,"5,5% - 8%",-,-,-,,,12000155000.0,,,,,,
Ngân hàng TNHH MTV Woori Việt Nam,Các bên cho vay > Ngân hàng TNHH MTV Woori Việt Nam,Ngân hàng TNHH MTV Woori Việt Nam,25.995.060.000,"4,8% - 5,25%",-,-,-,,,25995060000.0,,,,,,
Ngân hàng TNHH MTV Standard Chartered Việt Nam,Các bên cho vay > Ngân hàng TNHH MTV Standard Chartered Việt Nam,Ngân hàng TNHH MTV Standard Chartered Việt Nam,66.328.980.473,5% - 7%,-,-,-,,,66328980473.0,,,,,,
Tổ chức tài chính,Các bên cho vay > Tổ chức tài chính,Tổ chức tài chính,434.666.902.588,,85.415.890.436,268.803.318.024,354.219.208.460,,,434666902588.0,,85415890436.0,268803318024.0,354219208460.0,,
Công ty Cho thuê tài chính TNHH BIDV-SUMI TRUST,Các bên cho vay > Công ty Cho thuê tài chính TNHH BIDV-SUMI TRUST,Công ty Cho thuê tài chính TNHH BIDV-SUMI TRUST,-,,40.504.735.296,109.459.646.952,149.964.382.248,"7,9% - 8,4%",36 - 61 tháng,,,40504735296.0,109459646952.0,149964382248.0,,
Công ty cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Các bên cho vay > Công ty cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Công ty cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,58.780.766.715,"10,5% - 11%",-,-,-,,,58780766715.0,,,,,,
Quỹ Đầu tư Phát triển Khánh Hòa,Các bên cho vay > Quỹ Đầu tư Phát triển Khánh Hòa,Quỹ Đầu tư Phát triển Khánh Hòa,-,,7.860.000.000,86.127.000.000,93.987.000.000,"7,9% - 8,29%",49 - 120 tháng,,,7860000000.0,86127000000.0,93987000000.0,,
Công ty TNHH Một thành viên cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,Các bên cho vay > Công ty TNHH Một thành viên cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,Công ty TNHH Một thành viên cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,-,,13.480.649.721,22.108.048.038,35.588.697.759,"4% - 8,2%",36 - 63 tháng,,,13480649721.0,22108048038.0,35588697759.0,,
