row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải truyền dẫn,"Thiết bị,dụng cụ quản lý",TSCĐhửu hình khác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải truyền dẫn,"numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐhửu hình khác,numeric__Cộng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,1.287.553.015.766,405.327.079.782,361.613.841.908,39.201.773.335,7.526.079.455.625,9.619.775.166.416,1287553015766.0,405327079782.0,361613841908.0,39201773335.0,7526079455625.0,9619775166416.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,354.046.349.084,62.447.412.137,518.780.759.570,2.474.140.753,8.288.972.719,946.037.634.263,354046349084.0,62447412137.0,518780759570.0,2474140753.0,8288972719.0,946037634263.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,73.798.315.530,55.148.566.293,27.258.574.701,-,7.814.442.637,164.019.899.161,73798315530.0,55148566293.0,27258574701.0,,7814442637.0,164019899161.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,1.907.160.399.796,3.522.819.980.338,5.589.972.713.773,44.254.311.103,4.177.642.299,11.068.385.047.309,1907160399796.0,3522819980338.0,5589972713773.0,44254311103.0,4177642299.0,11068385047309.0
Mua lại TSCĐ thuê tài chính,NGUYÊN GIÁ > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,34.853.485.098,8.778.952.728,-,-,43.632.437.826,,34853485098.0,8778952728.0,,,43632437826.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,-,69.808.135,-,3.502.902.204,3.572.710.339,,,69808135.0,,3502902204.0,3572710339.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(38.965.240.718),(560.210.274.016),(177.695.612.192),(2.369.275.505),(845.412.962),(780.085.815.393),-38965240718.0,-560210274016.0,-177695612192.0,-2369275505.0,-845412962.0,-780085815393.0
Giảm do thoái vốn tại Công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,(248.125.728.143),(47.324.284.939),(15.619.407.384),-,(7.564.887.933),(318.634.308.399),-248125728143.0,-47324284939.0,-15619407384.0,,-7564887933.0,-318634308399.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(11.229.727.196),(426.490.000),(7.211.392.780),-,(1.553.084.832),(20.420.694.808),-11229727196.0,-426490000.0,-7211392780.0,,-1553084832.0,-20420694808.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(593.274.218),(676.199.993),611.320.749,-,658.153.462,-,-593274218.0,-676199993.0,611320749.0,,658153462.0,
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,3.323.644.109.901,3.471.959.274.700,6.306.559.559.208,83.560.949.686,7.540.558.183.219,20.726.282.076.714,3323644109901.0,3471959274700.0,6306559559208.0,83560949686.0,7540558183219.0,20726282076714.0
