row_label_raw,row_label_full,2. Các khoản đầu tư tài chính,2. Các khoản đầu tư tài chính_1,2. Các khoản đầu tư tài chính_2,2. Các khoản đầu tư tài chính_3,2. Các khoản đầu tư tài chính_4,2. Các khoản đầu tư tài chính_5,2. Các khoản đầu tư tài chính_6,numeric__2. Các khoản đầu tư tài chính_1,numeric__2. Các khoản đầu tư tài chính_2,numeric__2. Các khoản đầu tư tài chính_3,numeric__2. Các khoản đầu tư tài chính_4,numeric__2. Các khoản đầu tư tài chính_5,numeric__2. Các khoản đầu tư tài chính_6
2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Cổ phiếu niêm yết,2.1 Chứng khoán kinh doanh > Cổ phiếu niêm yết,Cổ phiếu niêm yết,51.002.052.543,42.097.710.000,(8.910.000.000),13.502.052.543,5.137.864.200,(8.259.545.455),51002052543.0,42097710000.0,-8910000000.0,13502052543.0,5137864200.0,-8259545455.0
Công ty cổ phần cấp nước Thừa Thiên Huế - Mã HWS (2.500.000 CP),2.1 Chứng khoán kinh doanh > Công ty cổ phần cấp nước Thừa Thiên Huế - Mã HWS (2.500.000 CP),Công ty cổ phần cấp nước Thừa Thiên Huế - Mã HWS (2.500.000 CP),37.500.000.000,37.500.000.000,-,-,-,-,37500000000.0,37500000000.0,,,,
Công ty cổ phần Đầu tư Kinh doanh Tổng hợp Điện Lực Thành phố Hồ Chí Minh - Mã HTE (1.350.000 CP),2.1 Chứng khoán kinh doanh > Công ty cổ phần Đầu tư Kinh doanh Tổng hợp Điện Lực Thành phố Hồ Chí Minh - Mã HTE (1.350.000 CP),Công ty cổ phần Đầu tư Kinh doanh Tổng hợp Điện Lực Thành phố Hồ Chí Minh - Mã HTE (1.350.000 CP),13.500.000.000,4.590.000.000,(8.910.000.000),13.500.000.000,5.130.000.000,(8.259.545.455),13500000000.0,4590000000.0,-8910000000.0,13500000000.0,5130000000.0,-8259545455.0
Công ty cổ phần Chứng khoán Hải Phòng - Mã HAC (771 CP),2.1 Chứng khoán kinh doanh > Công ty cổ phần Chứng khoán Hải Phòng - Mã HAC (771 CP),Công ty cổ phần Chứng khoán Hải Phòng - Mã HAC (771 CP),2.052.543,7.710.000,-,2.052.543,7.864.200,-,2052543.0,7710000.0,,2052543.0,7864200.0,
Cổ phiếu chưa niêm yết,2.1 Chứng khoán kinh doanh > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,-,-,-,14.772.940.000,(*),(8.910.868.283),,,,14772940000.0,,-8910868283.0
Công ty cổ phần Du lịch Bến Thành Non Nước (1.477.294 CP),2.1 Chứng khoán kinh doanh > Công ty cổ phần Du lịch Bến Thành Non Nước (1.477.294 CP),Công ty cổ phần Du lịch Bến Thành Non Nước (1.477.294 CP),-,-,-,14.772.940.000,,(8.910.868.283),,,,14772940000.0,,-8910868283.0
Cộng,2.1 Chứng khoán kinh doanh > Cộng,Cộng,51.002.052.543,,(8.910.000.000),28.274.992.543,,(17.170.413.738),51002052543.0,,-8910000000.0,28274992543.0,,-17170413738.0
