row_label_raw,row_label_full,Nội dung,Số nợ (VND),Nguyên nhân xóa nợ,numeric__Số nợ (VND),numeric__Nguyên nhân xóa nợ
Công ty cổ phần TIC,Công ty cổ phần TIC,Công ty cổ phần TIC,30.853.699.510,Nợ không có khả năng thu hồi.,30853699510.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,18.511.827.713,Nợ không có khả năng thu hồi.,18511827713.0,
Tổng,Tổng,Tổng,49.365.527.223,,49365527223.0,
