row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,2.071.693.110.558,2.071.693.110.558,1.200.498.290.074,1.200.498.290.074,2071693110558.0,2071693110558.0,1200498290074.0,1200498290074.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,88.314.956.696,88.314.956.696,65.214.106.519,65.214.106.519,88314956696.0,88314956696.0,65214106519.0,65214106519.0
Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,193.896.033.597,193.896.033.597,294.399.380.258,294.399.380.258,193896033597.0,193896033597.0,294399380258.0,294399380258.0
Công ty cổ phần Công nghệ - Viễn Thông ELCOM,Công ty cổ phần Công nghệ - Viễn Thông ELCOM,Công ty cổ phần Công nghệ - Viễn Thông ELCOM,21.688.184.347,21.688.184.347,37.563.715.175,37.563.715.175,21688184347.0,21688184347.0,37563715175.0,37563715175.0
Công ty cổ phần Công nghệ Tiên Phong,Công ty cổ phần Công nghệ Tiên Phong,Công ty cổ phần Công nghệ Tiên Phong,-,-,54.174.512.852,54.174.512.852,,,54174512852.0,54174512852.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,172.207.849.250,172.207.849.250,202.661.152.231,202.661.152.231,172207849250.0,172207849250.0,202661152231.0,202661152231.0
Phải trả hoạt động bán hàng hóa,Phải trả hoạt động bán hàng hóa,Phải trả hoạt động bán hàng hóa,1.578.020.236.778,1.578.020.236.778,692.852.881.565,692.852.881.565,1578020236778.0,1578020236778.0,692852881565.0,692852881565.0
Công ty TNHH Ô Tô Isuzu Việt Nam,Công ty TNHH Ô Tô Isuzu Việt Nam,Công ty TNHH Ô Tô Isuzu Việt Nam,61.086.560.757,61.086.560.757,87.894.847.113,87.894.847.113,61086560757.0,61086560757.0,87894847113.0,87894847113.0
Công ty TNHH Ford Việt Nam,Công ty TNHH Ford Việt Nam,Công ty TNHH Ford Việt Nam,85.993.723.699,85.993.723.699,70.304.307.244,70.304.307.244,85993723699.0,85993723699.0,70304307244.0,70304307244.0
Volvo Car Corporation,Volvo Car Corporation,Volvo Car Corporation,274.571.618.893,274.571.618.893,249.864.572.786,249.864.572.786,274571618893.0,274571618893.0,249864572786.0,249864572786.0
Công ty Cổ phần Liên doanh Ô tô Hyundai Thành Công Việt Nam,Công ty Cổ phần Liên doanh Ô tô Hyundai Thành Công Việt Nam,Công ty Cổ phần Liên doanh Ô tô Hyundai Thành Công Việt Nam,108.519.803.152,108.519.803.152,31.824.191.462,31.824.191.462,108519803152.0,108519803152.0,31824191462.0,31824191462.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.047.848.530.277,1.047.848.530.277,252.964.962.960,252.964.962.960,1047848530277.0,1047848530277.0,252964962960.0,252964962960.0
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,211.461.883.487,211.461.883.487,148.031.921.732,148.031.921.732,211461883487.0,211461883487.0,148031921732.0,148031921732.0
Công ty TNHH Giải pháp thể vàng,Công ty TNHH Giải pháp thể vàng,Công ty TNHH Giải pháp thể vàng,18.673.573.000,18.673.573.000,65.673.573.000,65.673.573.000,18673573000.0,18673573000.0,65673573000.0,65673573000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,192.788.310.487,192.788.310.487,82.358.348.732,82.358.348.732,192788310487.0,192788310487.0,82358348732.0,82358348732.0
Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,399.491.394.072,399.491.394.072,15.921.343.923,15.921.343.923,399491394072.0,399491394072.0,15921343923.0,15921343923.0
Phải trả hoạt động bán hàng hóa,Phải trả hoạt động bán hàng hóa,Phải trả hoạt động bán hàng hóa,399.069.229.332,399.069.229.332,13.985.908.402,13.985.908.402,399069229332.0,399069229332.0,13985908402.0,13985908402.0
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,422.164.740,422.164.740,1.935.435.521,1.935.435.521,422164740.0,422164740.0,1935435521.0,1935435521.0
(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),,,,
Cộng,(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,2.471.184.504.630,2.471.184.504.630,1.216.419.633.997,1.216.419.633.997,2471184504630.0,2471184504630.0,1216419633997.0,1216419633997.0
