row_label_raw,row_label_full,col_0,Kinh doanh ô tô,"Sản xuất nước sạch, đồ gia dụng, vật liệu xây dựng và bao bì","Đầu tư, kinh doanh BDS",Dịch vụ thu phí đường bộ theo hình thức BOT,Dịch vụ thu phí theo hình thức điện tử không dùng,Hoạt động kinh doanh bảo hiểm và đầu tư khác,Tổng,numeric__Kinh doanh ô tô,"numeric__Sản xuất nước sạch, đồ gia dụng, vật liệu xây dựng và bao bì","numeric__Đầu tư, kinh doanh BDS",numeric__Dịch vụ thu phí đường bộ theo hình thức BOT,numeric__Dịch vụ thu phí theo hình thức điện tử không dùng,numeric__Hoạt động kinh doanh bảo hiểm và đầu tư khác,numeric__Tổng
DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,,,,,,,
Tổng doanh thu,DOANH THU > Tổng doanh thu,Tổng doanh thu,32.065.948.009.466,1.138.595.560.646,546.050.244.832,718.842.462.035,503.703.101.220,1.407.092.142.234,36.380.231.520.433,32065948009466.0,1138595560646.0,546050244832.0,718842462035.0,503703101220.0,1407092142234.0,36380231520433.0
Giảm trừ doanh thu,DOANH THU > Giảm trừ doanh thu,Giảm trừ doanh thu,41.471.738.416,20.391.540.183,-,-,-,930.713.771,62.793.992.370,41471738416.0,20391540183.0,,,,930713771.0,62793992370.0
Doanh thu thuần,DOANH THU > Doanh thu thuần,Doanh thu thuần,32.024.476.271.050,1.118.204.020.463,546.050.244.832,718.842.462.035,503.703.101.220,1.406.161.428.463,36.317.437.528.063,32024476271050.0,1118204020463.0,546050244832.0,718842462035.0,503703101220.0,1406161428463.0,36317437528063.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","DOANH THU > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",(7.351.057.668),-,(31.190.350.655),2.431.354.230,-,-,(36.110.054.093),-7351057668.0,,-31190350655.0,2431354230.0,,,-36110054093.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,147.461.678.016,260.387.080.096,31.595.188.748,121.030.562.678,139.503.413.063,88.020.559.786,787.998.482.387,147461678016.0,260387080096.0,31595188748.0,121030562678.0,139503413063.0,88020559786.0,787998482387.0
Thuế thu nhập doanh nghiệp,KẾT QUẢ HOẠT ĐỘNG > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,24.739.906.499,65.170.221.693,13.551.547.643,9.846.191.170,-,44.427.125.426,157.734.992.431,24739906499.0,65170221693.0,13551547643.0,9846191170.0,,44427125426.0,157734992431.0
Lợi nhuận trong năm,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận trong năm,Lợi nhuận trong năm,122.721.771.517,195.216.858.403,18.043.641.105,111.184.371.508,139.503.413.063,43.593.434.360,630.263.489.956,122721771517.0,195216858403.0,18043641105.0,111184371508.0,139503413063.0,43593434360.0,630263489956.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,
