row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng > Vay mới,Trong năm > Tăng > Do hợp nhất kinh doanh,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng > Vay mới,numeric__Trong năm > Tăng > Do hợp nhất kinh doanh,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.559.193.157.589,3.559.193.157.589,25.920.243.915.934,4.353.535.051.938,25.332.361.502.342,8.500.610.623.119,8.500.610.623.119,3559193157589.0,3559193157589.0,25920243915934.0,4353535051938.0,25332361502342.0,8500610623119.0,8500610623119.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,3.414.691.032.767,3.414.691.032.767,25.197.803.102.171,4.327.824.725.395,24.903.525.139.802,8.036.793.720.531,8.036.793.720.531,3414691032767.0,3414691032767.0,25197803102171.0,4327824725395.0,24903525139802.0,8036793720531.0,8036793720531.0
Vay tổ chức tài chính,Vay tổ chức tài chính,Vay tổ chức tài chính,139.863.308.822,139.863.308.822,698.940.813.763,-,404.137.219.997,434.666.902.588,434.666.902.588,139863308822.0,139863308822.0,698940813763.0,,404137219997.0,434666902588.0,434666902588.0
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,4.638.816.000,4.638.816.000,23.500.000.000,25.710.326.543,24.699.142.543,29.150.000.000,29.150.000.000,4638816000.0,4638816000.0,23500000000.0,25710326543.0,24699142543.0,29150000000.0,29150000000.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,515.232.345.942,515.232.345.942,492.906.163.183,587.275.267.621,401.616.097.169,1.193.797.679.577,1.193.797.679.577,515232345942.0,515232345942.0,492906163183.0,587275267621.0,401616097169.0,1193797679577.0,1193797679577.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,512.659.444.948,512.659.444.948,424.526.055.212,277.118.113.849,377.774.029.793,836.529.584.216,836.529.584.216,512659444948.0,512659444948.0,424526055212.0,277118113849.0,377774029793.0,836529584216.0,836529584216.0
Vay tổ chức tài chính,Vay tổ chức tài chính,Vay tổ chức tài chính,2.572.900.994,2.572.900.994,58.144.883.114,34.981.027.646,10.282.921.318,85.415.890.436,85.415.890.436,2572900994.0,2572900994.0,58144883114.0,34981027646.0,10282921318.0,85415890436.0,85415890436.0
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,-,-,10.235.224.857,76.426.126.126,13.709.146.058,72.952.204.925,72.952.204.925,,,10235224857.0,76426126126.0,13709146058.0,72952204925.0,72952204925.0
Trái phiếu,Trái phiếu,Trái phiếu,-,-,-,198.750.000.000,(150.000.000),198.900.000.000,198.900.000.000,,,,198750000000.0,-150000000.0,198900000000.0,198900000000.0
Mệnh giá trái phiếu,Mệnh giá trái phiếu,Mệnh giá trái phiếu,-,-,-,200.000.000.000,-,200.000.000.000,200.000.000.000,,,,200000000000.0,,200000000000.0,200000000000.0
Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,-,-,-,1.250.000.000,150.000.000,1.100.000.000,1.100.000.000,,,,1250000000.0,150000000.0,1100000000.0,1100000000.0
Cộng,Cộng,Cộng,4.074.425.503.531,4.074.425.503.531,26.413.150.079.117,4.940.810.319.559,25.733.977.599.511,9.694.408.302.696,9.694.408.302.696,4074425503531.0,4074425503531.0,26413150079117.0,4940810319559.0,25733977599511.0,9694408302696.0,9694408302696.0
