row_label_raw,row_label_full,"Khoản mục đảm bảo vay ngắn hạn, dài hạn",Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,205.319.275.169,180.201.820.419,205319275169.0,180201820419.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,1.083.761.177.418,297.361.264.820,1083761177418.0,297361264820.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,1.589.648.964.769,1.474.812.553.190,1589648964769.0,1474812553190.0
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",47.557.309.110,40.819.995.927,47557309110.0,40819995927.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,9.032.713.422.152,5.495.729.840.310,9032713422152.0,5495729840310.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,550.520.677.705,783.574.302.283,550520677705.0,783574302283.0
Tiền thuê đất trả trước,Tiền thuê đất trả trước,Tiền thuê đất trả trước,-,58.196.208.000,,58196208000.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,18.151.087.603,-,18151087603.0,
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,982.968.558.010,1.064.661.424.385,982968558010.0,1064661424385.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,444.986.382.795,248.277.785.971,444986382795.0,248277785971.0
Khoản đầu tư vào Công ty con trong tập đoàn,Khoản đầu tư vào Công ty con trong tập đoàn,Khoản đầu tư vào Công ty con trong tập đoàn,8.830.604.281.460,6.444.257.020.000,8830604281460.0,6444257020000.0
Cổ phần nắm giữ,Cổ phần nắm giữ,Cổ phần nắm giữ,2.568.740.254.000,809.530.516.320,2568740254000.0,809530516320.0
Cộng giá trị tài sản đảm bảo,Cộng giá trị tài sản đảm bảo,Cộng giá trị tài sản đảm bảo,25.354.971.390.191,16.897.422.731.625,25354971390191.0,16897422731625.0
