row_label_raw,row_label_full,2.4 Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý (*),Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý (*),Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý (*),numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý (*),numeric__Số đầu năm > Dự phòng
Công ty TNHH Đầu tư và Xây dựng TNG,Công ty TNHH Đầu tư và Xây dựng TNG,Công ty TNHH Đầu tư và Xây dựng TNG,295.500.000.000,,-,85.500.000.000,,-,295500000000.0,,,85500000000.0,,
Công ty cổ phần B.O.O Nước Thủ Đức,Công ty cổ phần B.O.O Nước Thủ Đức,Công ty cổ phần B.O.O Nước Thủ Đức,143.153.395.000,,-,-,,-,143153395000.0,,,,,
Công ty cổ phần Du lịch Bến Thành Non Nước,Công ty cổ phần Du lịch Bến Thành Non Nước,Công ty cổ phần Du lịch Bến Thành Non Nước,132.772.940.000,,(9.274.117.828),-,,-,132772940000.0,,-9274117828.0,,,
Công ty cổ phần Đầu tư và Kinh doanh Dược phẩm Việt Nam,Công ty cổ phần Đầu tư và Kinh doanh Dược phẩm Việt Nam,Công ty cổ phần Đầu tư và Kinh doanh Dược phẩm Việt Nam,40.000.000.000,,-,-,,-,40000000000.0,,,,,
Công ty TNHH Môi trường Tasco Cù Chi,Công ty TNHH Môi trường Tasco Cù Chi,Công ty TNHH Môi trường Tasco Cù Chi,18.000.000.000,,-,18.000.000.000,,-,18000000000.0,,,18000000000.0,,
Công ty cổ phần Đầu tư Xây dựng và Thương mại Thái Bình Dương,Công ty cổ phần Đầu tư Xây dựng và Thương mại Thái Bình Dương,Công ty cổ phần Đầu tư Xây dựng và Thương mại Thái Bình Dương,14.000.000.000,,-,14.000.000.000,,-,14000000000.0,,,14000000000.0,,
Công ty Bảo hiểm Toàn Cầu,Công ty Bảo hiểm Toàn Cầu,Công ty Bảo hiểm Toàn Cầu,6.300.000.000,,-,6.300.000.000,,-,6300000000.0,,,6300000000.0,,
Công ty cổ phần Đầu tư phát triển nhà và đồ thị HUD 8,Công ty cổ phần Đầu tư phát triển nhà và đồ thị HUD 8,Công ty cổ phần Đầu tư phát triển nhà và đồ thị HUD 8,4.500.000.000,,-,4.500.000.000,,-,4500000000.0,,,4500000000.0,,
Công ty cổ phần vật liệu xây dựng và khoáng sản Bình Thuận,Công ty cổ phần vật liệu xây dựng và khoáng sản Bình Thuận,Công ty cổ phần vật liệu xây dựng và khoáng sản Bình Thuận,2.020.420.260,,(2.020.420.260),-,,-,2020420260.0,,-2020420260.0,,,
Công ty cổ phần Auto Online,Công ty cổ phần Auto Online,Công ty cổ phần Auto Online,1.836.000.000,,-,1.836.000.000,,-,1836000000.0,,,1836000000.0,,
Tổng Công ty Đầu tư nước và Môi trường Việt Nam - CTCP,Tổng Công ty Đầu tư nước và Môi trường Việt Nam - CTCP,Tổng Công ty Đầu tư nước và Môi trường Việt Nam - CTCP,1.836.000.000,,-,-,,-,1836000000.0,,,,,
Công ty cổ phần Bất động sản Quảng Phú,Công ty cổ phần Bất động sản Quảng Phú,Công ty cổ phần Bất động sản Quảng Phú,1.000.000.000,,-,1.000.000.000,,-,1000000000.0,,,1000000000.0,,
Công ty cổ phần Du thuyền SVC,Công ty cổ phần Du thuyền SVC,Công ty cổ phần Du thuyền SVC,500.000.000,,-,2.500.000.000,,-,500000000.0,,,2500000000.0,,
Công ty cổ phần Cơ khí Vinh,Công ty cổ phần Cơ khí Vinh,Công ty cổ phần Cơ khí Vinh,488.800.000,,(376.456.778),488.800.000,,(376.456.778),488800000.0,,-376456778.0,488800000.0,,-376456778.0
Công ty cổ phần COTABIG,Công ty cổ phần COTABIG,Công ty cổ phần COTABIG,300.000.000,,-,300.000.000,,-,300000000.0,,,300000000.0,,
Công ty cổ phần Kim khí Thăng Long,Công ty cổ phần Kim khí Thăng Long,Công ty cổ phần Kim khí Thăng Long,92.779.924,,-,92.779.924,,-,92779924.0,,,92779924.0,,
Công ty cổ phần Tư vấn Nền tảng ETC,Công ty cổ phần Tư vấn Nền tảng ETC,Công ty cổ phần Tư vấn Nền tảng ETC,-,,-,38.000.000.000,,-,,,,38000000000.0,,
Cộng,Cộng,Cộng,662.300.335.184,,(11.670.994.866),172.517.579.924,,(376.456.778),662300335184.0,,-11670994866.0,172517579924.0,,-376456778.0
