row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Phải thu khác từ bên thức ba,Phải thu khác từ bên thức ba,Phải thu khác từ bên thức ba,7.385.390.447.759,(30.087.053.276),3.200.291.972.702,(28.142.327.216),7385390447759.0,-30087053276.0,3200291972702.0,-28142327216.0
Tạm ứng,Tạm ứng,Tạm ứng,318.557.664.388,(3.350.000.000),131.547.731.321,(7.123.997.047),318557664388.0,-3350000000.0,131547731321.0,-7123997047.0
"Ký cược, ký quỹ ngắn hạn (*)","Ký cược, ký quỹ ngắn hạn (*)","Ký cược, ký quỹ ngắn hạn (*)",355.105.494.218,-,206.255.311.593,-,355105494218.0,,206255311593.0,
Phải thu giá trị hoàn trả suất đầu tư,Phải thu giá trị hoàn trả suất đầu tư,Phải thu giá trị hoàn trả suất đầu tư,123.315.692.170,-,123.315.692.170,-,123315692170.0,,123315692170.0,
Hợp tác đầu tư màng NVL xây dựng,Hợp tác đầu tư màng NVL xây dựng,Hợp tác đầu tư màng NVL xây dựng,834.993.850.000,-,-,-,834993850000.0,,,
"Hợp tác đầu tư, phát triển nước sạch","Hợp tác đầu tư, phát triển nước sạch","Hợp tác đầu tư, phát triển nước sạch",887.662.000.000,-,-,-,887662000000.0,,,
Hợp tác phát triển showroom,Hợp tác phát triển showroom,Hợp tác phát triển showroom,844.750.000.000,-,343.100.000.000,-,844750000000.0,,343100000000.0,
Hợp tác bất động sản,Hợp tác bất động sản,Hợp tác bất động sản,1.017.450.000.000,-,210.000.000.000,-,1017450000000.0,,210000000000.0,
Các khoản hợp tác đầu tư khác,Các khoản hợp tác đầu tư khác,Các khoản hợp tác đầu tư khác,1.925.542.304.300,-,972.565.410.060,-,1925542304300.0,,972565410060.0,
Phải thu gốc hợp đồng hợp tác kinh doanh,Phải thu gốc hợp đồng hợp tác kinh doanh,Phải thu gốc hợp đồng hợp tác kinh doanh,25.000.000.000,-,448.530.000.000,-,25000000000.0,,448530000000.0,
Phải thu tiền đặt cọc cho kinh doanh xe ô tô đã qua sử dụng hộ khách hàng,Phải thu tiền đặt cọc cho kinh doanh xe ô tô đã qua sử dụng hộ khách hàng,Phải thu tiền đặt cọc cho kinh doanh xe ô tô đã qua sử dụng hộ khách hàng,167.928.526.347,-,327.373.050.297,-,167928526347.0,,327373050297.0,
Phải thu khác,Phải thu khác,Phải thu khác,885.084.916.336,(26.737.053.276),437.604.777.261,(21.018.330.169),885084916336.0,-26737053276.0,437604777261.0,-21018330169.0
Phải thu khác từ bên liên quan,Phải thu khác từ bên liên quan,Phải thu khác từ bên liên quan,13.531.393.612,-,41.636.517.657,-,13531393612.0,,41636517657.0,
Phải thu khác,Phải thu khác,Phải thu khác,13.531.393.612,-,41.636.517.657,-,13531393612.0,,41636517657.0,
(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),,,,
Cộng,(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,7.398.921.841.371,(30.087.053.276),3.241.928.490.359,(28.142.327.216),7398921841371.0,-30087053276.0,3241928490359.0,-28142327216.0
