row_label_raw,row_label_full,Tên,Địa chỉ,Ngành nghề kinh doanh,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết(%),numeric__Địa chỉ,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ quyền biểu quyết(%)
- Công ty cổ phần Cấp thoát nước Tây Ninh,- Công ty cổ phần Cấp thoát nước Tây Ninh,- Công ty cổ phần Cấp thoát nước Tây Ninh,Tây Ninh,Sản xuất và kinh doanh nước sạch,"16,59%","59,47%",,,0.1659,0.5947
- Công ty cổ phần Quản lý và Vận hành hệ thống nước sạch,- Công ty cổ phần Quản lý và Vận hành hệ thống nước sạch,- Công ty cổ phần Quản lý và Vận hành hệ thống nước sạch,Đồng Tháp,Sản xuất và kinh doanh nước sạch,"29,26%","99,97%",,,0.2926,0.9997
- Công ty cổ phần Đầu tư nước Bình An,- Công ty cổ phần Đầu tư nước Bình An,- Công ty cổ phần Đầu tư nước Bình An,Lâm Đồng,Sản xuất và kinh doanh nước sạch,"23,08%","99,93%",,,0.23079999999999998,0.9993000000000001
- Công ty cổ phần DNP Hawaco,- Công ty cổ phần DNP Hawaco,- Công ty cổ phần DNP Hawaco,Hà Nội,Kinh doanh vật tư ngành nước,"28,43%","50,00%",,,0.2843,0.5
- Công ty cổ phần DNP Hawaco Miền Nam,- Công ty cổ phần DNP Hawaco Miền Nam,- Công ty cổ phần DNP Hawaco Miền Nam,Hồ Chí Minh,Kinh doanh vật tư ngành cơ điện,"28,14%","99,00%",,,0.2814,0.99
- Công ty cổ phần Đô thị Ninh Hòa,- Công ty cổ phần Đô thị Ninh Hòa,- Công ty cổ phần Đô thị Ninh Hòa,Khánh Hòa,Sản xuất và kinh doanh nước sạch,"15,08%","51,51%",,,0.1508,0.5151
- Công ty TNHH Kiểm định Đo lường Ninh Hòa,- Công ty TNHH Kiểm định Đo lường Ninh Hòa,- Công ty TNHH Kiểm định Đo lường Ninh Hòa,Khánh Hòa,Vật tư ngành nước,"15,08%","100,00%",,,0.1508,1.0
- Công ty TNHH MTV Xây lắp Đô thị Ninh Hòa,- Công ty TNHH MTV Xây lắp Đô thị Ninh Hòa,- Công ty TNHH MTV Xây lắp Đô thị Ninh Hòa,Khánh Hoà,Thương mại dịch vụ sản xuất,"15,08%","100,00%",,,0.1508,1.0
- Công ty cổ phần Cấp thoát nước Bình Phước,- Công ty cổ phần Cấp thoát nước Bình Phước,- Công ty cổ phần Cấp thoát nước Bình Phước,Đồng Nai,Sản xuất và kinh doanh nước sạch,"24,64%","84,32%",,,0.2464,0.8432
- Công ty TNHH Nước thô DNP - Sông Tiền,- Công ty TNHH Nước thô DNP - Sông Tiền,- Công ty TNHH Nước thô DNP - Sông Tiền,Đồng Tháp,"Khai thác, xử lý và cung cấp nước","27,02%","99,99%",,,0.2702,0.9998999999999999
- Công ty cổ phần Thiết bị và Công nghệ Eco Việt Nam,- Công ty cổ phần Thiết bị và Công nghệ Eco Việt Nam,- Công ty cổ phần Thiết bị và Công nghệ Eco Việt Nam,Hà Nội,Giải pháp và hạ tầng ngành nước,"19,89%","70,00%",,,0.1989,0.7
