row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 68.193.894.875,"Số phải nộp/tăng, giảm do hợp nhất trong năm > 851.935.785.261",Số đã nộp trong năm > 772.832.916.568,Số cuối năm > 147.296.763.568,numeric__Số đầu năm > 68.193.894.875,"numeric__Số phải nộp/tăng, giảm do hợp nhất trong năm > 851.935.785.261",numeric__Số đã nộp trong năm > 772.832.916.568,numeric__Số cuối năm > 147.296.763.568
Thuế thu nhập doanh nghiệp (i),Thuế thu nhập doanh nghiệp (i),Thuế thu nhập doanh nghiệp (i),179.844.272.935,506.779.518.538,205.947.940.597,480.675.850.876,179844272935.0,506779518538.0,205947940597.0,480675850876.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,15.766.701.755,118.134.028.109,110.897.528.244,23.003.201.620,15766701755.0,118134028109.0,110897528244.0,23003201620.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,7.618.312.655,1.207.972.108.215,1.137.140.127.504,78.450.293.366,7618312655.0,1207972108215.0,1137140127504.0,78450293366.0
Cộng,Cộng,Cộng,271.423.182.220,2.684.821.440.123,2.226.818.512.913,729.426.109.430,271423182220.0,2684821440123.0,2226818512913.0,729426109430.0
